Loading cached latent encoders from pretrained/atc/dqn/tempe_1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_1x1/baseline_v1_atc_s0/model/tempe_1x1_noise5_dqn_latent_observation -> eval real_setting=dz100
REAL_TEST step:2, travel time:1565.6182987848463, q_loss:100, rewards:-376.62518, queue:579.8889, delay:0.7275045, throughput:436
REAL_TEST step:4, travel time:1313.5112391930836, q_loss:100, rewards:-357.621, queue:597.41943, delay:0.76376784, throughput:624
REAL_TEST step:6, travel time:842.6119585112874, q_loss:100, rewards:-228.21907, queue:335.65833, delay:0.710351, throughput:966
REAL_TEST step:8, travel time:1023.3018558951965, q_loss:100, rewards:-286.62085, queue:478.9361, delay:0.73320794, throughput:774
REAL_TEST step:10, travel time:754.7535410764873, q_loss:100, rewards:-217.81944, queue:319.75278, delay:0.6985323, throughput:1075
REAL_TEST step:12, travel time:1113.3561111111112, q_loss:100, rewards:-309.30276, queue:516.85, delay:0.7416667, throughput:725
REAL_TEST step:14, travel time:897.3238036047235, q_loss:100, rewards:-240.30444, queue:354.58334, delay:0.71486145, throughput:922
REAL_TEST step:16, travel time:1170.3498253783468, q_loss:100, rewards:-336.97028, queue:523.03613, delay:0.70700926, throughput:656
REAL_TEST step:18, travel time:654.376088218224, q_loss:100, rewards:-181.30182, queue:257.91388, delay:0.6915084, throughput:1243
REAL_TEST step:20, travel time:227.20177731312074, q_loss:100, rewards:-29.173668, queue:48.84722, delay:0.59705245, throughput:1764
REAL_TEST step:22, travel time:279.34030318870884, q_loss:100, rewards:-48.32921, queue:77.84167, delay:0.61059135, throughput:1732
REAL_TEST step:24, travel time:566.3084161003659, q_loss:100, rewards:-149.68399, queue:241.58055, delay:0.6646819, throughput:1346
REAL_TEST step:26, travel time:630.1467481934408, q_loss:100, rewards:-176.6351, queue:261.85, delay:0.6930292, throughput:1157
REAL_TEST step:28, travel time:175.69158389963408, q_loss:100, rewards:-11.845873, queue:19.76111, delay:0.43886304, throughput:1824
REAL_TEST step:30, travel time:204.508102456874, q_loss:100, rewards:-21.792707, queue:35.863888, delay:0.544949, throughput:1812
REAL_TEST step:32, travel time:282.7888133821223, q_loss:100, rewards:-59.450836, queue:82.37778, delay:0.5939244, throughput:1673
REAL_TEST step:34, travel time:221.3700993204391, q_loss:100, rewards:-27.81754, queue:44.89722, delay:0.44732282, throughput:1791
