Loading cached latent encoders from pretrained/atc/dqn/hz4x4
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/hz4x4/baseline_v1_atc_s0/model/hz4x4_noise5_dqn_latent_observation -> eval real_setting=sensor5
REAL_TEST step:2, travel time:1893.5510588235295, q_loss:100, rewards:-1038.2264, queue:65.02239, delay:0.21543933, throughput:289
REAL_TEST step:4, travel time:1099.3509889373115, q_loss:100, rewards:-718.3707, queue:44.95868, delay:0.30808526, throughput:1328
REAL_TEST step:6, travel time:1158.5759302715387, q_loss:100, rewards:-776.4217, queue:48.616665, delay:0.30002624, throughput:1180
REAL_TEST step:8, travel time:930.8082467314783, q_loss:100, rewards:-567.9622, queue:35.4967, delay:0.31004834, throughput:1609
REAL_TEST step:10, travel time:775.3359034528997, q_loss:100, rewards:-443.2322, queue:27.669445, delay:0.28155455, throughput:1898
REAL_TEST step:12, travel time:768.8105933623868, q_loss:100, rewards:-401.73828, queue:25.050869, delay:0.27649543, throughput:1921
REAL_TEST step:14, travel time:699.610794502179, q_loss:100, rewards:-287.80276, queue:17.918924, delay:0.25809, throughput:2126
REAL_TEST step:16, travel time:764.072410325176, q_loss:100, rewards:-348.57672, queue:21.719965, delay:0.24798468, throughput:1938
REAL_TEST step:18, travel time:692.2601407978545, q_loss:100, rewards:-340.43112, queue:21.180382, delay:0.24900377, throughput:2108
REAL_TEST step:20, travel time:746.7894736842105, q_loss:100, rewards:-388.93024, queue:24.237152, delay:0.25120944, throughput:1967
REAL_TEST step:22, travel time:875.9929601072746, q_loss:100, rewards:-382.42084, queue:23.87448, delay:0.27044174, throughput:1611
REAL_TEST step:24, travel time:566.5591686221924, q_loss:100, rewards:-230.35136, queue:14.261806, delay:0.24348356, throughput:2348
REAL_TEST step:26, travel time:523.0784445189406, q_loss:100, rewards:-207.80779, queue:12.840451, delay:0.23268415, throughput:2426
REAL_TEST step:28, travel time:757.4825052484255, q_loss:100, rewards:-323.40778, queue:20.136631, delay:0.23911199, throughput:1910
REAL_TEST step:30, travel time:639.3134428427758, q_loss:100, rewards:-304.8925, queue:18.924826, delay:0.23574263, throughput:2231
REAL_TEST step:32, travel time:568.0479383171304, q_loss:100, rewards:-225.32307, queue:13.935591, delay:0.22416873, throughput:2344
REAL_TEST step:34, travel time:542.5668789808917, q_loss:100, rewards:-232.40724, queue:14.3972225, delay:0.23217556, throughput:2354
REAL_TEST step:36, travel time:660.8283607106939, q_loss:100, rewards:-280.44446, queue:17.44566, delay:0.2214594, throughput:2154
REAL_TEST step:38, travel time:533.1139792155548, q_loss:100, rewards:-177.11278, queue:10.9309025, delay:0.2030842, throughput:2346
REAL_TEST step:40, travel time:932.5464297686892, q_loss:100, rewards:-437.54916, queue:27.339756, delay:0.22980648, throughput:1554
REAL_TEST step:42, travel time:535.9597720415688, q_loss:100, rewards:-221.81111, queue:13.725868, delay:0.22774525, throughput:2431
REAL_TEST step:44, travel time:532.3985920214549, q_loss:100, rewards:-208.26054, queue:12.876041, delay:0.20437928, throughput:2384
REAL_TEST step:46, travel time:553.7609788803218, q_loss:100, rewards:-233.11584, queue:14.45, delay:0.23066284, throughput:2366
REAL_TEST step:48, travel time:530.5333556821992, q_loss:100, rewards:-206.38914, queue:12.769271, delay:0.20559588, throughput:2416
REAL_TEST step:50, travel time:536.1062688568555, q_loss:100, rewards:-230.91061, queue:14.314062, delay:0.20638023, throughput:2345
REAL_TEST step:52, travel time:483.5165940328528, q_loss:100, rewards:-168.15443, queue:10.354688, delay:0.20968357, throughput:2522
REAL_TEST step:54, travel time:536.6191753268522, q_loss:100, rewards:-223.99086, queue:13.861459, delay:0.20153663, throughput:2420
REAL_TEST step:56, travel time:564.8400938652363, q_loss:100, rewards:-255.10278, queue:15.811632, delay:0.20772973, throughput:2277
REAL_TEST step:58, travel time:790.6289986091795, q_loss:100, rewards:-392.63556, queue:24.465279, delay:0.2196402, throughput:1974
REAL_TEST step:60, travel time:600.6540395574924, q_loss:100, rewards:-199.71062, queue:12.373959, delay:0.18260168, throughput:2211
REAL_TEST step:62, travel time:618.828025477707, q_loss:100, rewards:-211.52226, queue:13.093229, delay:0.18768719, throughput:2277
REAL_TEST step:64, travel time:539.4790479383171, q_loss:100, rewards:-184.0364, queue:11.376909, delay:0.19350429, throughput:2416
REAL_TEST step:66, travel time:805.6193122612018, q_loss:100, rewards:-358.9228, queue:22.389584, delay:0.19324201, throughput:1807
REAL_TEST step:68, travel time:779.2967719541825, q_loss:100, rewards:-349.82175, queue:21.797049, delay:0.18749458, throughput:1875
REAL_TEST step:70, travel time:712.6989607777406, q_loss:100, rewards:-349.45694, queue:21.784027, delay:0.2144563, throughput:2031
REAL_TEST step:72, travel time:477.37948374120015, q_loss:100, rewards:-151.87862, queue:9.339757, delay:0.19630016, throughput:2523
REAL_TEST step:74, travel time:599.5947033188065, q_loss:100, rewards:-259.37057, queue:16.0967, delay:0.19836523, throughput:2248
REAL_TEST step:76, travel time:541.8692591350989, q_loss:100, rewards:-181.16417, queue:11.18125, delay:0.20429078, throughput:2363
REAL_TEST step:78, travel time:496.1521957760644, q_loss:100, rewards:-169.2864, queue:10.436806, delay:0.18091778, throughput:2445
REAL_TEST step:80, travel time:422.86121354341265, q_loss:100, rewards:-113.883064, queue:6.945139, delay:0.18377897, throughput:2646
REAL_TEST step:82, travel time:552.511230305062, q_loss:100, rewards:-222.87695, queue:13.8151045, delay:0.20307066, throughput:2362
REAL_TEST step:84, travel time:476.5856520281596, q_loss:100, rewards:-157.29, queue:9.683507, delay:0.18217342, throughput:2516
REAL_TEST step:86, travel time:489.87495809587665, q_loss:100, rewards:-142.86974, queue:8.788368, delay:0.18408674, throughput:2471
REAL_TEST step:88, travel time:529.343949044586, q_loss:100, rewards:-214.33441, queue:13.2786455, delay:0.19251727, throughput:2426
REAL_TEST step:90, travel time:531.9829031176668, q_loss:100, rewards:-185.8528, queue:11.480382, delay:0.18773516, throughput:2377
REAL_TEST step:92, travel time:637.5209520616829, q_loss:100, rewards:-210.15306, queue:13.028472, delay:0.17371945, throughput:2378
REAL_TEST step:94, travel time:451.5558162923232, q_loss:100, rewards:-134.47614, queue:8.247916, delay:0.17952935, throughput:2545
REAL_TEST step:96, travel time:510.5434126718069, q_loss:100, rewards:-196.14362, queue:12.135243, delay:0.19166806, throughput:2420
REAL_TEST step:98, travel time:646.4746899094871, q_loss:100, rewards:-282.58698, queue:17.576216, delay:0.2005892, throughput:2166
REAL_TEST step:100, travel time:563.3999329534026, q_loss:100, rewards:-226.97778, queue:14.069271, delay:0.18165965, throughput:2282
REAL_TEST step:102, travel time:511.50888367415354, q_loss:100, rewards:-180.30804, queue:11.141666, delay:0.18405388, throughput:2387
REAL_TEST step:104, travel time:435.4673147837747, q_loss:100, rewards:-117.68583, queue:7.200521, delay:0.17609718, throughput:2553
REAL_TEST step:106, travel time:408.4280925243044, q_loss:100, rewards:-97.87333, queue:5.953472, delay:0.17125787, throughput:2654
REAL_TEST step:108, travel time:417.7777405296681, q_loss:100, rewards:-111.339455, queue:6.7913194, delay:0.17145894, throughput:2609
REAL_TEST step:110, travel time:479.253436138116, q_loss:100, rewards:-132.21194, queue:8.133854, delay:0.19112583, throughput:2571
REAL_TEST step:112, travel time:471.5628561850486, q_loss:100, rewards:-108.79388, queue:6.6447916, delay:0.16846825, throughput:2570
REAL_TEST step:114, travel time:489.08347301374454, q_loss:100, rewards:-172.36473, queue:10.641146, delay:0.17225568, throughput:2483
REAL_TEST step:116, travel time:520.0398927254441, q_loss:100, rewards:-187.00223, queue:11.573091, delay:0.17836775, throughput:2422
REAL_TEST step:118, travel time:472.6624203821656, q_loss:100, rewards:-144.00223, queue:8.840798, delay:0.18256564, throughput:2564
REAL_TEST step:120, travel time:598.8762990278243, q_loss:100, rewards:-248.19943, queue:15.3996525, delay:0.18709053, throughput:2302
REAL_TEST step:122, travel time:455.4146832048273, q_loss:100, rewards:-117.637794, queue:7.1986113, delay:0.15956345, throughput:2535
REAL_TEST step:124, travel time:648.3057990559677, q_loss:100, rewards:-213.22722, queue:13.227604, delay:0.19960739, throughput:2177
REAL_TEST step:126, travel time:475.8059001005699, q_loss:100, rewards:-163.98695, queue:10.091319, delay:0.18562664, throughput:2525
REAL_TEST step:128, travel time:438.9798860207844, q_loss:100, rewards:-136.77113, queue:8.385764, delay:0.1806847, throughput:2559
REAL_TEST step:130, travel time:464.99396580623534, q_loss:100, rewards:-133.11139, queue:8.167361, delay:0.17457572, throughput:2536
REAL_TEST step:132, travel time:464.1890714046262, q_loss:100, rewards:-145.41417, queue:8.943229, delay:0.18060578, throughput:2505
REAL_TEST step:134, travel time:445.68085819644654, q_loss:100, rewards:-124.39668, queue:7.626389, delay:0.17804338, throughput:2569
REAL_TEST step:136, travel time:467.13543412671805, q_loss:100, rewards:-141.615, queue:8.718924, delay:0.16953684, throughput:2509
REAL_TEST step:138, travel time:663.1119221411192, q_loss:100, rewards:-222.83168, queue:13.83941, delay:0.17138813, throughput:2055
REAL_TEST step:140, travel time:492.88467985249747, q_loss:100, rewards:-148.36641, queue:9.151389, delay:0.1803964, throughput:2440
REAL_TEST step:142, travel time:464.52162252765675, q_loss:100, rewards:-132.79333, queue:8.169444, delay:0.17029543, throughput:2508
REAL_TEST step:144, travel time:461.8109285953738, q_loss:100, rewards:-130.09224, queue:7.9836807, delay:0.18217655, throughput:2492
REAL_TEST step:146, travel time:707.043358568479, q_loss:100, rewards:-298.27695, queue:18.572742, delay:0.16849461, throughput:1991
REAL_TEST step:148, travel time:424.3550117331545, q_loss:100, rewards:-106.57528, queue:6.5111113, delay:0.17260239, throughput:2609
REAL_TEST step:150, travel time:442.4669795507878, q_loss:100, rewards:-131.25807, queue:8.062847, delay:0.18461794, throughput:2538
REAL_TEST step:152, travel time:570.2427086825344, q_loss:100, rewards:-227.40836, queue:14.104341, delay:0.19830991, throughput:2338
REAL_TEST step:154, travel time:545.2551123030506, q_loss:100, rewards:-226.0497, queue:14.01441, delay:0.1979715, throughput:2319
REAL_TEST step:156, travel time:432.0707341602414, q_loss:100, rewards:-121.14223, queue:7.431597, delay:0.17250948, throughput:2576
REAL_TEST step:158, travel time:427.3721086154878, q_loss:100, rewards:-123.80001, queue:7.5583334, delay:0.1754539, throughput:2602
REAL_TEST step:160, travel time:419.33724438484745, q_loss:100, rewards:-108.70445, queue:6.6328125, delay:0.16502726, throughput:2604
REAL_TEST step:162, travel time:548.0341937646665, q_loss:100, rewards:-207.93945, queue:12.882465, delay:0.1810781, throughput:2350
REAL_TEST step:164, travel time:426.53972510895073, q_loss:100, rewards:-105.83889, queue:6.435243, delay:0.16381988, throughput:2627
REAL_TEST step:166, travel time:502.09587663426083, q_loss:100, rewards:-163.49861, queue:10.079514, delay:0.19033903, throughput:2435
REAL_TEST step:168, travel time:531.388870264834, q_loss:100, rewards:-129.35612, queue:7.9470487, delay:0.17608984, throughput:2355
REAL_TEST step:170, travel time:618.1061376737878, q_loss:100, rewards:-307.71198, queue:19.12257, delay:0.18226433, throughput:2196
REAL_TEST step:172, travel time:501.74991619175324, q_loss:100, rewards:-195.48112, queue:12.102257, delay:0.19161169, throughput:2410
REAL_TEST step:174, travel time:790.0310656704679, q_loss:100, rewards:-271.15866, queue:16.850695, delay:0.16250835, throughput:1829
REAL_TEST step:176, travel time:507.1015755950385, q_loss:100, rewards:-168.09557, queue:10.372743, delay:0.17328747, throughput:2455
REAL_TEST step:178, travel time:512.1927589674824, q_loss:100, rewards:-209.39444, queue:12.967188, delay:0.17406216, throughput:2338
REAL_TEST step:180, travel time:465.43010392222595, q_loss:100, rewards:-156.43668, queue:9.632465, delay:0.17510794, throughput:2514
REAL_TEST step:182, travel time:489.79215554810594, q_loss:100, rewards:-178.46805, queue:11.027431, delay:0.190784, throughput:2446
REAL_TEST step:184, travel time:549.7683540060342, q_loss:100, rewards:-149.78502, queue:9.231423, delay:0.16086672, throughput:2373
REAL_TEST step:186, travel time:627.4304391552129, q_loss:100, rewards:-217.28917, queue:13.459896, delay:0.1846336, throughput:2215
REAL_TEST step:188, travel time:394.5719074756956, q_loss:100, rewards:-92.45362, queue:5.602083, delay:0.16018474, throughput:2681
REAL_TEST step:190, travel time:510.83003687562854, q_loss:100, rewards:-200.70306, queue:12.413542, delay:0.17353792, throughput:2454
REAL_TEST step:192, travel time:478.787462286289, q_loss:100, rewards:-169.43752, queue:10.472917, delay:0.16785492, throughput:2412
REAL_TEST step:194, travel time:406.20683875293327, q_loss:100, rewards:-103.75056, queue:6.3171873, delay:0.1799454, throughput:2657
REAL_TEST step:196, travel time:478.0774388199799, q_loss:100, rewards:-168.57057, queue:10.406424, delay:0.18354791, throughput:2496
REAL_TEST step:198, travel time:478.3583640630238, q_loss:100, rewards:-166.94168, queue:10.2786455, delay:0.17422779, throughput:2508
Total time taken: 3801.122742652893
