MORLGrid: 22 grid policies
SIM_TRAIN step:0, travel time:74.59649122807018, q_loss:0, rewards:-6.800166, queue:0.9722222, delay:0.06797678, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:1, travel time:76.31192052980133, q_loss:0, rewards:-6.863684, queue:1.0019841, delay:0.07193433, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:2, travel time:74.3953642384106, q_loss:1.3275598, rewards:-7.8090725, queue:1.1194445, delay:0.07004817, throughput:3011, raw_metrics:{'fairness': 15.0}
SIM_TRAIN step:3, travel time:75.13931171409662, q_loss:0.10546306, rewards:-7.15298, queue:1.0476191, delay:0.07322194, throughput:3011, raw_metrics:{'fairness': 68.143}
SIM_TRAIN step:4, travel time:71.06790327923153, q_loss:0.022282083, rewards:-5.809795, queue:0.8492063, delay:0.06782434, throughput:3011, raw_metrics:{'fairness': 70.857}
SIM_TRAIN step:5, travel time:75.72814569536423, q_loss:0.01874273, rewards:-5.5753527, queue:0.81031746, delay:0.06529374, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:6, travel time:72.07353428287513, q_loss:0.019873392, rewards:-5.5406103, queue:0.80515873, delay:0.06483841, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:7, travel time:78.66920529801324, q_loss:0.020174429, rewards:-5.3544626, queue:0.7789683, delay:0.059275623, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:8, travel time:76.2774834437086, q_loss:0.018415712, rewards:-5.3332033, queue:0.784127, delay:0.059818007, throughput:3011, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:1, travel time:1300.7631160572337, q_loss:100, rewards:-182.3298, queue:25.215874, delay:0.367694, throughput:631, R_real:-211.7290, components:{'queue': 0.761, 'delay': 0.0, 'waiting': 199.534, 'pressure': 0.0, 'switches': 0.0, 'fairness': 11.434}, raw_metrics:{'fairness': 75.857, 'emission': 1222.545, 'fuel': 396.342, 'emergency_stops': 0.0, 'collisions': 0.0, 'ssm_conflicts': 385.0}, grid;w=queue=0.167;delay=0.167;waiting=0.167;pressure=0.167;switches=0.167;fairness=0.167
SIM_TRAIN step:9, travel time:72.56622516556291, q_loss:0, rewards:-7.1351657, queue:1.0222223, delay:0.06827838, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:10, travel time:71.27649006622516, q_loss:0, rewards:-6.411019, queue:0.92777777, delay:0.06810371, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:11, travel time:70.42734193975505, q_loss:1.3541955, rewards:-6.3141675, queue:0.9059524, delay:0.06652359, throughput:3012, raw_metrics:{'fairness': 38.143}
SIM_TRAIN step:12, travel time:444.1189135475323, q_loss:0.09895397, rewards:-68.937584, queue:9.335318, delay:0.16105543, throughput:2117, raw_metrics:{'fairness': 129.571}
SIM_TRAIN step:13, travel time:776.956939383902, q_loss:0.01963435, rewards:-127.32481, queue:17.173412, delay:0.24727473, throughput:1753, raw_metrics:{'fairness': 163.143}
SIM_TRAIN step:14, travel time:107.32649006622516, q_loss:0.009134121, rewards:-24.16394, queue:3.4876983, delay:0.12087939, throughput:3010, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:15, travel time:244.68245033112584, q_loss:0.005833473, rewards:-28.669834, queue:3.892857, delay:0.13567938, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:16, travel time:91.89609530112509, q_loss:0.0038851504, rewards:-8.3235, queue:1.1706349, delay:0.083642505, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:17, travel time:73.77144749917191, q_loss:0.002778904, rewards:-6.623369, queue:0.96746033, delay:0.071612075, throughput:3010, raw_metrics:{'fairness': 141.857}
REAL_TRAIN step:2, travel time:524.7686631944445, q_loss:100, rewards:-95.32451, queue:13.241667, delay:0.27766547, throughput:1733, R_real:-89.0127, components:{'queue': 0.397, 'delay': 0.0, 'waiting': 78.647, 'pressure': 0.0, 'switches': 0.0, 'fairness': 9.969}, raw_metrics:{'fairness': 98.429, 'emission': 746.758, 'fuel': 242.094, 'emergency_stops': 16.0, 'collisions': 0.0, 'ssm_conflicts': 705.0}, grid;w=queue=1.0
SIM_TRAIN step:18, travel time:71.48161642928122, q_loss:0, rewards:-6.516166, queue:0.9305556, delay:0.06638454, throughput:3011, raw_metrics:{'fairness': 96.286}
SIM_TRAIN step:19, travel time:71.18774834437086, q_loss:0, rewards:-6.664278, queue:0.9464286, delay:0.06697298, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:20, travel time:72.14966887417218, q_loss:1.6472918, rewards:-6.839556, queue:0.9734127, delay:0.06863434, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:21, travel time:106.55478318437603, q_loss:0.10658923, rewards:-22.710478, queue:3.1103175, delay:0.09287594, throughput:2978, raw_metrics:{'fairness': 243.143}
SIM_TRAIN step:22, travel time:79.3023178807947, q_loss:0.005961877, rewards:-4.947704, queue:0.73333335, delay:0.05717749, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:23, travel time:71.36553092954018, q_loss:0.00532013, rewards:-5.188778, queue:0.7583333, delay:0.05172231, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:24, travel time:69.90469887491727, q_loss:0.0048892326, rewards:-4.331093, queue:0.6420635, delay:0.049648665, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:25, travel time:65.89407480966567, q_loss:0.0035441974, rewards:-3.6238518, queue:0.5345238, delay:0.045122996, throughput:3012, raw_metrics:{'fairness': 24.857}
SIM_TRAIN step:26, travel time:67.9046673286991, q_loss:0.0031570105, rewards:-3.4695368, queue:0.50476193, delay:0.046205852, throughput:3012, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:3, travel time:780.9636763896533, q_loss:100, rewards:-117.22422, queue:16.067064, delay:0.3021919, throughput:1197, R_real:-120.4038, components:{'queue': 0.489, 'delay': 0.0, 'waiting': 113.552, 'pressure': 0.0, 'switches': 0.0, 'fairness': 6.362}, raw_metrics:{'fairness': 38.429, 'emission': 900.285, 'fuel': 291.867, 'emergency_stops': 13.0, 'collisions': 0.0, 'ssm_conflicts': 557.0}, grid;w=delay=1.0
SIM_TRAIN step:27, travel time:73.4498510427011, q_loss:0, rewards:-7.565537, queue:1.0710317, delay:0.070201986, throughput:3010, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:28, travel time:71.441059602649, q_loss:0, rewards:-6.8454432, queue:0.9873016, delay:0.0684172, throughput:3012, raw_metrics:{'fairness': 36.429}
SIM_TRAIN step:29, travel time:72.60721376571807, q_loss:1.4983104, rewards:-7.2655544, queue:0.9988095, delay:0.07096462, throughput:3011, raw_metrics:{'fairness': 66.714}
SIM_TRAIN step:30, travel time:100.20728476821192, q_loss:0.09740609, rewards:-21.168022, queue:2.9829366, delay:0.11363736, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:31, travel time:80.16263663464723, q_loss:0.005072859, rewards:-8.394423, queue:1.2111111, delay:0.080205806, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:32, travel time:74.1097520661157, q_loss:0.0023903295, rewards:-6.32887, queue:0.9242064, delay:0.07228384, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:33, travel time:70.746772591857, q_loss:0.0018309277, rewards:-6.3200374, queue:0.9003968, delay:0.069415525, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:34, travel time:70.81688741721854, q_loss:0.0015096371, rewards:-5.9858513, queue:0.8813492, delay:0.06949304, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:35, travel time:69.31059602649006, q_loss:0.005478997, rewards:-5.5095377, queue:0.7952381, delay:0.06406143, throughput:3012, raw_metrics:{'fairness': 66.429}
REAL_TRAIN step:4, travel time:608.9011428571429, q_loss:100, rewards:-103.8463, queue:14.103969, delay:0.27718496, throughput:1297, R_real:-66.9286, components:{'queue': 0.434, 'delay': 0.0, 'waiting': 58.698, 'pressure': 0.0, 'switches': 0.0, 'fairness': 7.797}, raw_metrics:{'fairness': 50.429, 'emission': 682.749, 'fuel': 221.343, 'emergency_stops': 8.0, 'collisions': 3.0, 'ssm_conflicts': 484.0}, grid;w=waiting=1.0
SIM_TRAIN step:36, travel time:74.84370860927152, q_loss:0, rewards:-7.309572, queue:1.0388889, delay:0.0700507, throughput:3010, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:37, travel time:74.58728055647565, q_loss:0, rewards:-6.555055, queue:0.94484127, delay:0.0671889, throughput:3012, raw_metrics:{'fairness': 62.714}
SIM_TRAIN step:38, travel time:70.56636875206885, q_loss:1.8291403, rewards:-6.519462, queue:0.9071429, delay:0.06544629, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:39, travel time:71.2085402184707, q_loss:0.17140117, rewards:-6.0282784, queue:0.8730159, delay:0.06873702, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:40, travel time:70.7922593450215, q_loss:0.028510557, rewards:-6.093834, queue:0.90238094, delay:0.0702754, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:41, travel time:68.68630046326936, q_loss:0.022022072, rewards:-5.23424, queue:0.78055555, delay:0.06397894, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:42, travel time:68.68797615104339, q_loss:0.021477899, rewards:-4.8324823, queue:0.72936505, delay:0.06008911, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:43, travel time:70.03279231533621, q_loss:0.021531763, rewards:-5.2710366, queue:0.7789683, delay:0.06297153, throughput:3012, raw_metrics:{'fairness': 67.143}
SIM_TRAIN step:44, travel time:68.85170473353195, q_loss:0.023202732, rewards:-5.010814, queue:0.74444443, delay:0.06394551, throughput:3012, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:5, travel time:358.24581430745815, q_loss:100, rewards:-99.79906, queue:14.219444, delay:0.29098523, throughput:2100, R_real:-46.6524, components:{'queue': 0.416, 'delay': 0.0, 'waiting': 31.191, 'pressure': 0.0, 'switches': 0.0, 'fairness': 15.045}, raw_metrics:{'fairness': 113.714, 'emission': 782.51, 'fuel': 253.684, 'emergency_stops': 22.0, 'collisions': 1.0, 'ssm_conflicts': 975.0}, grid;w=pressure=1.0
SIM_TRAIN step:45, travel time:73.4395495197085, q_loss:0, rewards:-6.8370185, queue:0.97063494, delay:0.07030196, throughput:3011, raw_metrics:{'fairness': 27.429}
SIM_TRAIN step:46, travel time:72.33222921497185, q_loss:0, rewards:-6.8584433, queue:0.98134923, delay:0.06817962, throughput:3012, raw_metrics:{'fairness': 100.714}
SIM_TRAIN step:47, travel time:72.60383597883597, q_loss:1.7569189, rewards:-6.9327397, queue:0.99444443, delay:0.066771924, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:48, travel time:187.57582781456955, q_loss:0.3041801, rewards:-20.855463, queue:3.193254, delay:0.092552036, throughput:2865, raw_metrics:{'fairness': 57.714}
SIM_TRAIN step:49, travel time:513.6890728476822, q_loss:0.04045196, rewards:-72.84973, queue:10.292857, delay:0.18085931, throughput:2250, raw_metrics:{'fairness': 191.286}
SIM_TRAIN step:50, travel time:408.3855581318317, q_loss:0.015728148, rewards:-47.999664, queue:6.8293653, delay:0.16776997, throughput:2502, raw_metrics:{'fairness': 75.857}
SIM_TRAIN step:51, travel time:254.76953642384106, q_loss:0.018645037, rewards:-65.41409, queue:9.532539, delay:0.16702142, throughput:2892, raw_metrics:{'fairness': 37.714}
SIM_TRAIN step:52, travel time:513.4342932803708, q_loss:0.009177169, rewards:-80.91927, queue:11.571032, delay:0.2067856, throughput:2510, raw_metrics:{'fairness': 44.286}
SIM_TRAIN step:53, travel time:1277.861212321961, q_loss:0.0034679156, rewards:-144.42154, queue:19.028572, delay:0.2821674, throughput:1245, raw_metrics:{'fairness': 62.0}
REAL_TRAIN step:6, travel time:1307.7065217391305, q_loss:100, rewards:-166.90533, queue:20.798016, delay:0.31424293, throughput:340, R_real:-213.2915, components:{'queue': 0.697, 'delay': 0.0, 'waiting': 207.706, 'pressure': 0.0, 'switches': 0.0, 'fairness': 4.889}, raw_metrics:{'fairness': 42.571, 'emission': 965.247, 'fuel': 312.928, 'emergency_stops': 0.0, 'collisions': 0.0, 'ssm_conflicts': 248.0}, grid;w=switches=1.0
SIM_TRAIN step:54, travel time:73.6277299801456, q_loss:0, rewards:-7.2736835, queue:1.0404762, delay:0.06885825, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:55, travel time:72.77152317880795, q_loss:0, rewards:-7.2774076, queue:1.0214286, delay:0.06911933, throughput:3012, raw_metrics:{'fairness': 65.714}
SIM_TRAIN step:56, travel time:79.49867549668875, q_loss:2.1659741, rewards:-7.3079066, queue:1.0337301, delay:0.074035875, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:57, travel time:82.66412971542024, q_loss:0.79542375, rewards:-8.934741, queue:1.2488096, delay:0.07356237, throughput:3002, raw_metrics:{'fairness': 43.0}
SIM_TRAIN step:58, travel time:76.55857048312376, q_loss:0.60218275, rewards:-7.791482, queue:1.0690476, delay:0.0717947, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:59, travel time:71.19801324503311, q_loss:0.8307737, rewards:-7.286073, queue:1.0154762, delay:0.073517896, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:60, travel time:71.51010268300762, q_loss:0.72516894, rewards:-7.1105733, queue:1.0095239, delay:0.06734518, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:61, travel time:170.0446871896723, q_loss:0.7744982, rewards:-25.876163, queue:4.2892857, delay:0.09345275, throughput:2906, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:62, travel time:136.66114607485923, q_loss:0.819508, rewards:-23.18962, queue:3.8194444, delay:0.088766664, throughput:2916, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:7, travel time:1146.4206755373593, q_loss:100, rewards:-144.61311, queue:19.34246, delay:0.29748154, throughput:527, R_real:-162.7739, components:{'queue': 0.604, 'delay': 0.0, 'waiting': 157.795, 'pressure': 0.0, 'switches': 0.0, 'fairness': 4.375}, raw_metrics:{'fairness': 25.143, 'emission': 781.7, 'fuel': 253.422, 'emergency_stops': 2.0, 'collisions': 4.0, 'ssm_conflicts': 234.0}, grid;w=fairness=1.0
SIM_TRAIN step:63, travel time:73.164515061238, q_loss:0, rewards:-6.489333, queue:0.9261905, delay:0.06886995, throughput:3011, raw_metrics:{'fairness': 66.0}
SIM_TRAIN step:64, travel time:73.78245033112583, q_loss:0, rewards:-7.4856677, queue:1.0805556, delay:0.07001257, throughput:3011, raw_metrics:{'fairness': 43.857}
SIM_TRAIN step:65, travel time:71.19788219722038, q_loss:1.3704219, rewards:-6.4970546, queue:0.9261905, delay:0.06809178, throughput:3012, raw_metrics:{'fairness': 63.714}
SIM_TRAIN step:66, travel time:258.2287322078782, q_loss:0.09018402, rewards:-46.799778, queue:6.1936507, delay:0.13107845, throughput:2458, raw_metrics:{'fairness': 222.571}
SIM_TRAIN step:67, travel time:394.62926183382984, q_loss:0.004966631, rewards:-63.77844, queue:8.470634, delay:0.136728, throughput:2192, raw_metrics:{'fairness': 178.0}
SIM_TRAIN step:68, travel time:73.80165562913908, q_loss:0.0038419606, rewards:-5.1598525, queue:0.73968256, delay:0.058949996, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:69, travel time:66.63964262078093, q_loss:0.003185199, rewards:-3.993908, queue:0.5904762, delay:0.050988413, throughput:3012, raw_metrics:{'fairness': 90.714}
SIM_TRAIN step:70, travel time:119.14441868168268, q_loss:0.052484132, rewards:-30.249943, queue:4.089286, delay:0.08181759, throughput:2999, raw_metrics:{'fairness': 31.143}
SIM_TRAIN step:71, travel time:67.55941741145317, q_loss:0.019007416, rewards:-4.4038157, queue:0.64880955, delay:0.055839986, throughput:3012, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:8, travel time:964.2191011235955, q_loss:100, rewards:-123.63353, queue:17.800396, delay:0.2951369, throughput:833, R_real:-134.1978, components:{'queue': 0.516, 'delay': 0.0, 'waiting': 126.191, 'pressure': 0.0, 'switches': 0.0, 'fairness': 7.491}, raw_metrics:{'fairness': 43.857, 'emission': 870.17, 'fuel': 282.104, 'emergency_stops': 4.0, 'collisions': 0.0, 'ssm_conflicts': 341.0}, grid;w=queue=0.5;delay=0.5
SIM_TRAIN step:72, travel time:73.61026490066226, q_loss:0, rewards:-7.882739, queue:1.1333333, delay:0.070423834, throughput:3011, raw_metrics:{'fairness': 46.429}
SIM_TRAIN step:73, travel time:72.38054268696227, q_loss:0, rewards:-6.195147, queue:0.87738097, delay:0.0668284, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:74, travel time:75.38576158940397, q_loss:1.3110272, rewards:-6.5235553, queue:0.92698413, delay:0.06802876, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:75, travel time:181.75364238410597, q_loss:0.10564667, rewards:-44.848827, queue:6.292857, delay:0.13748133, throughput:2704, raw_metrics:{'fairness': 246.286}
SIM_TRAIN step:76, travel time:81.5067858325058, q_loss:0.08378989, rewards:-10.382887, queue:1.4789683, delay:0.08511624, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:77, travel time:91.70165562913907, q_loss:0.07540772, rewards:-10.282742, queue:1.4313492, delay:0.090731375, throughput:3011, raw_metrics:{'fairness': 67.143}
SIM_TRAIN step:78, travel time:91.958940397351, q_loss:0.06883296, rewards:-9.751222, queue:1.3825396, delay:0.080935, throughput:3011, raw_metrics:{'fairness': 62.0}
SIM_TRAIN step:79, travel time:80.80860927152318, q_loss:0.06510277, rewards:-12.72191, queue:1.747619, delay:0.08337046, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:80, travel time:94.97880794701987, q_loss:0.0677644, rewards:-9.659612, queue:1.3420635, delay:0.083100915, throughput:3012, raw_metrics:{'fairness': 65.857}
REAL_TRAIN step:9, travel time:255.9806891329042, q_loss:100, rewards:-69.58226, queue:9.230952, delay:0.23948926, throughput:2328, R_real:-28.6649, components:{'queue': 0.29, 'delay': 0.0, 'waiting': 11.179, 'pressure': 0.0, 'switches': 0.0, 'fairness': 17.196}, raw_metrics:{'fairness': 170.429, 'emission': 541.068, 'fuel': 175.41, 'emergency_stops': 22.0, 'collisions': 4.0, 'ssm_conflicts': 1137.0}, grid;w=queue=0.5;waiting=0.5
SIM_TRAIN step:81, travel time:74.12918184829414, q_loss:0, rewards:-6.7441297, queue:0.96428573, delay:0.069818035, throughput:3011, raw_metrics:{'fairness': 12.857}
SIM_TRAIN step:82, travel time:75.3788881535407, q_loss:0, rewards:-6.3940916, queue:0.9174603, delay:0.068266414, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:83, travel time:74.16738339397949, q_loss:1.8423152, rewards:-6.7296476, queue:0.9690476, delay:0.070277646, throughput:3012, raw_metrics:{'fairness': 43.571}
SIM_TRAIN step:84, travel time:72.07019867549668, q_loss:0.17715994, rewards:-6.486277, queue:0.92777777, delay:0.0718719, throughput:3010, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:85, travel time:67.86490066225166, q_loss:0.009604678, rewards:-4.6430745, queue:0.6793651, delay:0.05811265, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:86, travel time:99.2970559047304, q_loss:0.005691751, rewards:-6.1958895, queue:0.91309524, delay:0.068570234, throughput:3006, raw_metrics:{'fairness': 76.286}
SIM_TRAIN step:87, travel time:73.90235021516054, q_loss:0.005465822, rewards:-4.9055, queue:0.7349206, delay:0.058759544, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:88, travel time:68.42795627691288, q_loss:0.005133971, rewards:-4.9538326, queue:0.6996032, delay:0.057490323, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:89, travel time:72.09668874172185, q_loss:0.0048873015, rewards:-4.8675747, queue:0.7253968, delay:0.058898337, throughput:3012, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:10, travel time:423.3863917525773, q_loss:100, rewards:-102.757065, queue:14.100397, delay:0.273529, throughput:1901, R_real:-61.1637, components:{'queue': 0.428, 'delay': 0.0, 'waiting': 52.064, 'pressure': 0.0, 'switches': 0.0, 'fairness': 8.671}, raw_metrics:{'fairness': 21.857, 'emission': 774.418, 'fuel': 251.061, 'emergency_stops': 19.0, 'collisions': 5.0, 'ssm_conflicts': 986.0}, grid;w=queue=0.5;pressure=0.5
SIM_TRAIN step:90, travel time:74.3353194306521, q_loss:0, rewards:-7.1776667, queue:1.0039682, delay:0.07091702, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:91, travel time:72.47849106551952, q_loss:0, rewards:-6.588223, queue:0.9329365, delay:0.0695372, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:92, travel time:70.53291432351968, q_loss:1.3957306, rewards:-6.4350743, queue:0.92142856, delay:0.066998884, throughput:3012, raw_metrics:{'fairness': 67.429}
SIM_TRAIN step:93, travel time:81.21854304635761, q_loss:0.11418609, rewards:-11.856665, queue:1.7484127, delay:0.09118579, throughput:3011, raw_metrics:{'fairness': 66.143}
SIM_TRAIN step:94, travel time:205.57436237164623, q_loss:0.008130632, rewards:-20.545977, queue:2.8507936, delay:0.11219421, throughput:2779, raw_metrics:{'fairness': 18.571}
SIM_TRAIN step:95, travel time:266.3, q_loss:0.0033989444, rewards:-20.645102, queue:2.829365, delay:0.11598455, throughput:2794, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:96, travel time:573.6674395495197, q_loss:0.101710804, rewards:-77.47803, queue:11.080953, delay:0.19661234, throughput:2304, raw_metrics:{'fairness': 277.0}
SIM_TRAIN step:97, travel time:166.4132450331126, q_loss:0.014993698, rewards:-23.331596, queue:3.204762, delay:0.121943034, throughput:2907, raw_metrics:{'fairness': 42.286}
SIM_TRAIN step:98, travel time:187.77906591586617, q_loss:0.0019329652, rewards:-24.408768, queue:3.3916667, delay:0.1344827, throughput:2842, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:11, travel time:1034.632612966601, q_loss:100, rewards:-117.55749, queue:15.371032, delay:0.27579227, throughput:615, R_real:-144.1813, components:{'queue': 0.491, 'delay': 0.0, 'waiting': 137.702, 'pressure': 0.0, 'switches': 0.0, 'fairness': 5.988}, raw_metrics:{'fairness': 53.429, 'emission': 655.546, 'fuel': 212.524, 'emergency_stops': 1.0, 'collisions': 0.0, 'ssm_conflicts': 181.0}, grid;w=queue=0.5;switches=0.5
SIM_TRAIN step:99, travel time:74.91823899371069, q_loss:0, rewards:-6.8023148, queue:0.9646825, delay:0.07042082, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:100, travel time:74.35496688741722, q_loss:0, rewards:-7.0923514, queue:0.98531747, delay:0.07295055, throughput:3011, raw_metrics:{'fairness': 12.286}
SIM_TRAIN step:101, travel time:73.14143756210666, q_loss:1.3480471, rewards:-7.1574244, queue:1.0218254, delay:0.06914045, throughput:3012, raw_metrics:{'fairness': 12.286}
SIM_TRAIN step:102, travel time:72.9615766810202, q_loss:0.24496917, rewards:-7.8331103, queue:1.1063492, delay:0.07332621, throughput:3012, raw_metrics:{'fairness': 9.857}
SIM_TRAIN step:103, travel time:71.20470354421994, q_loss:0.12557836, rewards:-6.8048334, queue:0.9361111, delay:0.068870686, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:104, travel time:72.20264900662252, q_loss:0.0905941, rewards:-7.6314073, queue:1.0611111, delay:0.06570113, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:105, travel time:73.93079470198676, q_loss:0.07963335, rewards:-7.5011473, queue:1.0492064, delay:0.06466146, throughput:3011, raw_metrics:{'fairness': 0.0}
