Loading cached latent encoders from pretrained/darla/dqn/bullhead_1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_1/baseline_v1_darla_s0/model/bullhead_1_noise5_dqn_latent_observation -> eval real_setting=sensor70
REAL_TEST step:2, travel time:571.3782920989624, q_loss:100, rewards:-62.998623, queue:53.422222, delay:0.40011126, throughput:693
REAL_TEST step:4, travel time:292.06451612903226, q_loss:100, rewards:-14.6975, queue:4.9055557, delay:0.3392319, throughput:1172
REAL_TEST step:6, travel time:924.1075949367089, q_loss:100, rewards:-17.343334, queue:5.788889, delay:0.2499332, throughput:714
REAL_TEST step:8, travel time:205.6938622754491, q_loss:100, rewards:-10.890004, queue:10.941667, delay:0.15917718, throughput:1266
REAL_TEST step:10, travel time:290.79715568862275, q_loss:100, rewards:0.0, queue:0.0, delay:0.13678087, throughput:1175
REAL_TEST step:12, travel time:280.46501457725947, q_loss:100, rewards:-0.7944447, queue:0.9222222, delay:0.0628609, throughput:1213
REAL_TEST step:14, travel time:292.06451612903226, q_loss:100, rewards:-14.6975, queue:4.9055557, delay:0.3249635, throughput:1172
REAL_TEST step:16, travel time:289.1867064973861, q_loss:100, rewards:0.0, queue:0.0, delay:0.06146171, throughput:1178
REAL_TEST step:18, travel time:2679.1700154559508, q_loss:100, rewards:-153.44002, queue:153.69444, delay:0.16412328, throughput:5
REAL_TEST step:20, travel time:291.24269662921347, q_loss:100, rewards:0.0, queue:0.0, delay:0.13678087, throughput:1174
REAL_TEST step:22, travel time:2669.6656394453003, q_loss:100, rewards:-333.0147, queue:322.83334, delay:0.56265974, throughput:7
REAL_TEST step:24, travel time:163.63997005988023, q_loss:100, rewards:-5.6649976, queue:5.7305555, delay:0.31746882, throughput:1273
REAL_TEST step:26, travel time:2309.0420757363254, q_loss:100, rewards:-359.2225, queue:359.90555, delay:0.4028394, throughput:71
REAL_TEST step:28, travel time:2678.754250386399, q_loss:100, rewards:-154.61555, queue:154.89444, delay:0.163081, throughput:5
REAL_TEST step:30, travel time:745.4876453488372, q_loss:100, rewards:-82.78582, queue:81.458336, delay:0.32218817, throughput:962
REAL_TEST step:32, travel time:2527.0737463126843, q_loss:100, rewards:-154.37613, queue:154.60278, delay:0.16406578, throughput:45
REAL_TEST step:34, travel time:2348.345730027548, q_loss:100, rewards:-5.6000004, queue:1.8888888, delay:0.21252145, throughput:95
REAL_TEST step:36, travel time:2527.0737463126843, q_loss:100, rewards:-154.37613, queue:154.60278, delay:0.18063499, throughput:45
REAL_TEST step:38, travel time:1702.892609699769, q_loss:100, rewards:-193.92418, queue:194.275, delay:0.23963907, throughput:225
REAL_TEST step:40, travel time:2647.533639143731, q_loss:100, rewards:-167.73747, queue:158.77222, delay:0.406535, throughput:12
REAL_TEST step:42, travel time:2638.641768292683, q_loss:100, rewards:-167.35417, queue:158.39444, delay:0.40640712, throughput:14
REAL_TEST step:44, travel time:2521.8433382137628, q_loss:100, rewards:-238.82613, queue:236.67778, delay:0.38523424, throughput:46
REAL_TEST step:46, travel time:179.76410998552822, q_loss:100, rewards:-13.086669, queue:13.0, delay:0.23304363, throughput:1313
REAL_TEST step:48, travel time:2523.2297496318115, q_loss:100, rewards:-71.96667, queue:72.075, delay:0.09884579, throughput:46
REAL_TEST step:50, travel time:2523.226804123711, q_loss:100, rewards:-236.70447, queue:237.10556, delay:0.24492751, throughput:46
REAL_TEST step:52, travel time:2523.5787923416788, q_loss:100, rewards:-81.53417, queue:81.65833, delay:0.0819695, throughput:46
REAL_TEST step:54, travel time:289.73168908819133, q_loss:100, rewards:0.0, queue:0.0, delay:0.12251254, throughput:1177
REAL_TEST step:56, travel time:2514.822320117474, q_loss:100, rewards:-158.72945, queue:149.67223, delay:0.42534438, throughput:48
REAL_TEST step:58, travel time:2523.141384388807, q_loss:100, rewards:-81.53583, queue:81.66111, delay:0.09803925, throughput:46
REAL_TEST step:60, travel time:2041.1235521235521, q_loss:100, rewards:-216.47137, queue:216.85556, delay:0.2414082, throughput:141
REAL_TEST step:62, travel time:188.40794223826714, q_loss:100, rewards:-5.2061105, queue:4.75, delay:0.26016694, throughput:1300
REAL_TEST step:64, travel time:272.1209268645909, q_loss:100, rewards:-0.21749997, queue:0.32222223, delay:0.15182051, throughput:1225
REAL_TEST step:66, travel time:2517.268221574344, q_loss:100, rewards:-250.3028, queue:235.33055, delay:0.7012545, throughput:48
REAL_TEST step:68, travel time:2527.0737463126843, q_loss:100, rewards:-162.2875, queue:162.575, delay:0.16384728, throughput:45
REAL_TEST step:70, travel time:144.55322230267922, q_loss:100, rewards:-4.0422206, queue:3.7972221, delay:0.3415813, throughput:1328
REAL_TEST step:72, travel time:1772.1121718377087, q_loss:100, rewards:-276.09723, queue:268.56668, delay:0.52932584, throughput:203
REAL_TEST step:74, travel time:2705.690625, q_loss:100, rewards:0.0, queue:0.0, delay:0.0, throughput:1
REAL_TEST step:76, travel time:148.85445329471398, q_loss:100, rewards:-6.2930555, queue:5.688889, delay:0.30629563, throughput:1329
REAL_TEST step:78, travel time:189.90658942795076, q_loss:100, rewards:-1.4761117, queue:0.98333335, delay:0.20615733, throughput:1291
REAL_TEST step:80, travel time:2511.4692082111437, q_loss:100, rewards:-94.81083, queue:85.611115, delay:0.35019195, throughput:49
REAL_TEST step:82, travel time:2523.622974963181, q_loss:100, rewards:-72.84194, queue:72.94444, delay:0.08209629, throughput:46
REAL_TEST step:84, travel time:2661.2488479262674, q_loss:100, rewards:-154.32304, queue:154.58333, delay:0.163951, throughput:9
REAL_TEST step:86, travel time:2523.141384388807, q_loss:100, rewards:-163.86417, queue:164.1639, delay:0.17890182, throughput:46
REAL_TEST step:88, travel time:2523.226804123711, q_loss:100, rewards:-163.8625, queue:164.16112, delay:0.16283196, throughput:46
REAL_TEST step:90, travel time:2503.3377192982457, q_loss:100, rewards:-95.817505, queue:87.00833, delay:0.32307976, throughput:51
REAL_TEST step:92, travel time:2527.226804123711, q_loss:100, rewards:-2.2291663, queue:0.75555557, delay:0.10439257, throughput:46
REAL_TEST step:94, travel time:2527.0988200589973, q_loss:100, rewards:-163.08333, queue:163.42223, delay:0.17881007, throughput:45
REAL_TEST step:96, travel time:292.06451612903226, q_loss:100, rewards:0.0, queue:0.0, delay:0.014268335, throughput:1172
REAL_TEST step:98, travel time:1933.8804483188044, q_loss:100, rewards:-225.32166, queue:215.72778, delay:0.47534057, throughput:166
REAL_TEST step:100, travel time:272.60347322720696, q_loss:100, rewards:-1.7641666, queue:0.69722223, delay:0.21116894, throughput:1225
REAL_TEST step:102, travel time:2394.002812939522, q_loss:100, rewards:-234.94972, queue:235.375, delay:0.24405415, throughput:76
REAL_TEST step:104, travel time:185.3854314002829, q_loss:100, rewards:-19.607504, queue:17.538889, delay:0.36657286, throughput:1138
REAL_TEST step:106, travel time:274.99198250728864, q_loss:100, rewards:-5.098888, queue:1.7166667, delay:0.2751661, throughput:1215
REAL_TEST step:108, travel time:2511.34649122807, q_loss:100, rewards:-72.479164, queue:72.6, delay:0.082255185, throughput:48
REAL_TEST step:110, travel time:294.43553223388307, q_loss:100, rewards:-0.10472223, queue:0.14166667, delay:0.024893565, throughput:1173
REAL_TEST step:112, travel time:2523.3107511045655, q_loss:100, rewards:-155.17027, queue:155.44722, delay:0.16295877, throughput:46
REAL_TEST step:114, travel time:157.9212303075769, q_loss:100, rewards:-1.786944, queue:1.7888889, delay:0.099413864, throughput:1277
REAL_TEST step:116, travel time:1514.4785478547856, q_loss:100, rewards:-73.43583, queue:63.372223, delay:0.40193057, throughput:274
REAL_TEST step:118, travel time:2527.0988200589973, q_loss:100, rewards:-82.33, queue:82.505554, delay:0.09693214, throughput:45
REAL_TEST step:120, travel time:2311.47983310153, q_loss:100, rewards:-83.95305, queue:74.816666, delay:0.32438552, throughput:84
REAL_TEST step:122, travel time:292.06451612903226, q_loss:100, rewards:0.0, queue:0.0, delay:0.0, throughput:1172
REAL_TEST step:124, travel time:1049.444572748268, q_loss:100, rewards:0.0, queue:0.0, delay:0.0, throughput:565
REAL_TEST step:126, travel time:2648.382848392037, q_loss:100, rewards:-309.52304, queue:310.0611, delay:0.32665983, throughput:11
REAL_TEST step:128, travel time:2500.874635568513, q_loss:100, rewards:-168.50998, queue:159.53612, delay:0.40541235, throughput:50
REAL_TEST step:130, travel time:2527.0988200589973, q_loss:100, rewards:-154.29666, queue:154.58055, delay:0.17920895, throughput:45
REAL_TEST step:132, travel time:2523.226804123711, q_loss:100, rewards:-82.32834, queue:82.50278, delay:0.0808624, throughput:46
REAL_TEST step:134, travel time:2660.57910906298, q_loss:100, rewards:-175.50194, queue:155.9611, delay:0.64377403, throughput:9
REAL_TEST step:136, travel time:2500.4489795918366, q_loss:100, rewards:-86.36834, queue:77.244446, delay:0.3245902, throughput:50
REAL_TEST step:138, travel time:2523.141384388807, q_loss:100, rewards:-154.29666, queue:154.58055, delay:0.17920895, throughput:46
REAL_TEST step:140, travel time:2504.4235807860264, q_loss:100, rewards:-3.1241658, queue:1.0611111, delay:0.162824, throughput:53
REAL_TEST step:142, travel time:291.7196401799101, q_loss:100, rewards:0.0, queue:0.0, delay:0.06146171, throughput:1173
REAL_TEST step:144, travel time:2532.620029455081, q_loss:100, rewards:-5.2975006, queue:1.7583333, delay:0.19666938, throughput:46
REAL_TEST step:146, travel time:2523.237113402062, q_loss:100, rewards:-0.019166667, queue:0.013888889, delay:0.019481137, throughput:46
REAL_TEST step:148, travel time:278.3175528040787, q_loss:100, rewards:-9.37528, queue:3.1472223, delay:0.31110054, throughput:1215
REAL_TEST step:150, travel time:2390.315417256011, q_loss:100, rewards:-164.94, queue:156.84166, delay:0.4105382, throughput:72
REAL_TEST step:152, travel time:291.7196401799101, q_loss:100, rewards:0.0, queue:0.0, delay:0.06146171, throughput:1173
REAL_TEST step:154, travel time:2693.159937888199, q_loss:100, rewards:0.0, queue:0.0, delay:0.0, throughput:2
REAL_TEST step:156, travel time:2527.0737463126843, q_loss:100, rewards:-71.96667, queue:72.075, delay:0.09884579, throughput:45
REAL_TEST step:158, travel time:1103.0578602620087, q_loss:100, rewards:-36.93167, queue:27.447222, delay:0.51512873, throughput:583
REAL_TEST step:160, travel time:2472.1376811594205, q_loss:100, rewards:-152.14082, queue:152.41112, delay:0.16334692, throughput:55
REAL_TEST step:162, travel time:2246.4721088435376, q_loss:100, rewards:-161.33502, queue:152.95277, delay:0.3920295, throughput:100
REAL_TEST step:164, travel time:1155.0258620689656, q_loss:100, rewards:-117.25164, queue:110.183334, delay:0.3913075, throughput:409
REAL_TEST step:166, travel time:982.3380743982494, q_loss:100, rewards:-3.2333324, queue:1.125, delay:0.18348442, throughput:616
REAL_TEST step:168, travel time:2376.3596614950634, q_loss:100, rewards:-81.53417, queue:81.65833, delay:0.0819695, throughput:74
REAL_TEST step:170, travel time:2345.426573426573, q_loss:100, rewards:-80.755005, queue:80.91944, delay:0.09859745, throughput:80
REAL_TEST step:172, travel time:1760.6920565832427, q_loss:100, rewards:-215.05779, queue:215.40834, delay:0.24376479, throughput:311
REAL_TEST step:174, travel time:2527.0737463126843, q_loss:100, rewards:-82.32834, queue:82.50278, delay:0.09743156, throughput:45
REAL_TEST step:176, travel time:335.85774647887325, q_loss:100, rewards:-14.9302845, queue:14.302778, delay:0.24488303, throughput:1249
REAL_TEST step:178, travel time:425.66738973246567, q_loss:100, rewards:-24.676956, queue:24.63889, delay:0.15370704, throughput:1160
REAL_TEST step:180, travel time:2507.8950437317785, q_loss:100, rewards:-327.30353, queue:315.8889, delay:0.73125947, throughput:49
REAL_TEST step:182, travel time:2527.0737463126843, q_loss:100, rewards:-163.8625, queue:164.16112, delay:0.16283196, throughput:45
REAL_TEST step:184, travel time:659.0339840925524, q_loss:100, rewards:-70.88275, queue:63.072224, delay:0.37029478, throughput:1094
REAL_TEST step:186, travel time:896.1422338568935, q_loss:100, rewards:-3.458609, queue:1.9638889, delay:0.17830658, throughput:753
REAL_TEST step:188, travel time:198.54236060825488, q_loss:100, rewards:-8.43889, queue:7.077778, delay:0.3236861, throughput:1297
REAL_TEST step:190, travel time:150.2970225127088, q_loss:100, rewards:-14.5625, queue:7.302778, delay:0.4784018, throughput:1324
REAL_TEST step:192, travel time:2517.197947214076, q_loss:100, rewards:-308.9161, queue:309.48056, delay:0.32709318, throughput:47
REAL_TEST step:194, travel time:2523.141384388807, q_loss:100, rewards:-82.33, queue:82.505554, delay:0.09693214, throughput:46
REAL_TEST step:196, travel time:2523.4388807069217, q_loss:100, rewards:-81.53417, queue:81.65833, delay:0.0819695, throughput:46
REAL_TEST step:198, travel time:2319.5636856368565, q_loss:100, rewards:-153.49693, queue:153.725, delay:0.16395842, throughput:101
Total time taken: 931.1083190441132
