Oblivious-Q baseline (prediction disabled, env delay still applied): m=0 decision(s) of assumed delay (sim_delay=0, real_delay=60)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_presslight/hz4x4/action_delay_optimized_s0_oblivious_q_s0/model/hz4x4_setting1_presslight_oblivious_q -> eval real_setting=setting4
REAL_TEST step:3, travel time:1400.0572012257405, q_loss:100, rewards:-336.27026909722224, queue:63.20538194444445, delay:0.3019569396972656, throughput:1056, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:1381.749147920927, q_loss:100, rewards:-333.93077256944446, queue:61.78888888888889, delay:0.3134049521552192, throughput:1050, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:1287.8803827751196, q_loss:100, rewards:-340.27350260416665, queue:56.99131944444444, delay:0.29424324035644533, throughput:1082, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:1338.5066712281903, q_loss:100, rewards:-349.4799479166667, queue:58.99652777777778, delay:0.3124436272515191, throughput:1138, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:1262.6470187393527, q_loss:100, rewards:-341.1616536458333, queue:55.67256944444444, delay:0.30741875966389975, throughput:1106, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:1283.1069225496915, q_loss:100, rewards:-361.07782118055553, queue:56.28854166666667, delay:0.30476504431830514, throughput:1066, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:1313.7167689161554, q_loss:100, rewards:-315.3636067708333, queue:58.29878472222222, delay:0.3128371344672309, throughput:1004, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:1337.1411042944785, q_loss:100, rewards:-314.7691840277778, queue:59.28611111111111, delay:0.3082440694173177, throughput:1058, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:1380.257269928156, q_loss:100, rewards:-352.46888020833336, queue:61.95798611111111, delay:0.31117403242323133, throughput:908, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:1377.0325231085244, q_loss:100, rewards:-399.1480902777778, queue:61.568576388888886, delay:0.30792344411214195, throughput:1020, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:1292.488237299693, q_loss:100, rewards:-385.7463107638889, queue:57.55902777777778, delay:0.29209287431504993, throughput:1076, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:1299.99795221843, q_loss:100, rewards:-344.45859375, queue:57.488194444444446, delay:0.2980318705240885, throughput:1043, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:1411.6479828632632, q_loss:100, rewards:-418.27999131944443, queue:61.24635416666667, delay:0.2969901614718967, throughput:958, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:1344.702113156101, q_loss:100, rewards:-355.015234375, queue:60.02048611111111, delay:0.30234430101182724, throughput:1004, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:1343.619405534677, q_loss:100, rewards:-369.35338541666664, queue:59.691319444444446, delay:0.30332730611165365, throughput:1063, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:1427.2929117442668, q_loss:100, rewards:-406.44197048611113, queue:63.5171875, delay:0.30395211113823783, throughput:843, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:1436.214708957825, q_loss:100, rewards:-408.90052083333336, queue:63.61284722222222, delay:0.31290355258517794, throughput:825, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:1303.5807770961146, q_loss:100, rewards:-337.81584201388887, queue:57.515277777777776, delay:0.30538060930040145, throughput:1111, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:1267.4167517875383, q_loss:100, rewards:-339.7013888888889, queue:55.87829861111111, delay:0.30003577338324655, throughput:1146, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:60, travel time:1285.119850187266, q_loss:100, rewards:-351.81829427083335, queue:56.82829861111111, delay:0.3074766794840495, throughput:1112, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:63, travel time:1337.6663063063063, q_loss:100, rewards:-367.63975694444446, queue:56.6015625, delay:0.309868409898546, throughput:1080, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:66, travel time:1426.6357484076434, q_loss:100, rewards:-448.2775607638889, queue:55.47152777777778, delay:0.29568701850043405, throughput:927, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:69, travel time:1358.1177981651376, q_loss:100, rewards:-380.66059027777777, queue:56.967013888888886, delay:0.2995608859592014, throughput:1086, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:72, travel time:1382.5181090354556, q_loss:100, rewards:-393.48368055555557, queue:55.616840277777776, delay:0.30217569139268663, throughput:1022, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:75, travel time:1308.5102459016393, q_loss:100, rewards:-297.82476128472223, queue:58.063715277777774, delay:0.28529328240288626, throughput:1056, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:78, travel time:1401.7904572564612, q_loss:100, rewards:-430.9886284722222, queue:54.50642361111111, delay:0.2857477611965603, throughput:939, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:81, travel time:1392.5407640803467, q_loss:100, rewards:-477.83893229166665, queue:54.821527777777774, delay:0.29534130096435546, throughput:898, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:84, travel time:1346.0324324324324, q_loss:100, rewards:-456.49175347222223, queue:53.550694444444446, delay:0.29692262013753257, throughput:998, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:87, travel time:1246.1916922029282, q_loss:100, rewards:-313.84637586805553, queue:54.97725694444444, delay:0.30177150302463107, throughput:1176, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:90, travel time:1376.6435958631662, q_loss:100, rewards:-425.69947916666666, queue:52.941493055555554, delay:0.2986670176188151, throughput:1001, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
