replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_1x1/baseline_v1_domain_randomization_s0/model/tempe_1x1_noise5_presslight_domain_randomization -> eval real_setting=dz100
REAL_TEST step:3, travel time:357.1453214845792, q_loss:100, rewards:-158.10608, queue:121.53889, delay:0.56885654, throughput:1631
REAL_TEST step:6, travel time:1074.468930172966, q_loss:100, rewards:-449.5809, queue:424.7611, delay:0.7362371, throughput:813
REAL_TEST step:9, travel time:301.3815995818087, q_loss:100, rewards:-127.52223, queue:90.005554, delay:0.6320867, throughput:1677
REAL_TEST step:12, travel time:306.9707266074229, q_loss:100, rewards:-130.6667, queue:93.316666, delay:0.6338683, throughput:1678
REAL_TEST step:15, travel time:344.3429168844747, q_loss:100, rewards:-151.31116, queue:114.833336, delay:0.6471469, throughput:1633
REAL_TEST step:18, travel time:200.72190277051752, q_loss:100, rewards:-71.50832, queue:33.605556, delay:0.5245192, throughput:1807
REAL_TEST step:21, travel time:448.94279661016947, q_loss:100, rewards:-209.7038, queue:175.98334, delay:0.5842337, throughput:1368
REAL_TEST step:24, travel time:354.2566649242028, q_loss:100, rewards:-159.40419, queue:123.077774, delay:0.5076643, throughput:1523
REAL_TEST step:27, travel time:215.935703084161, q_loss:100, rewards:-80.227486, queue:42.01389, delay:0.459432, throughput:1764
REAL_TEST step:30, travel time:186.9817041296393, q_loss:100, rewards:-64.13335, queue:26.216667, delay:0.48016882, throughput:1815
REAL_TEST step:33, travel time:219.77104025091478, q_loss:100, rewards:-82.071106, queue:44.202778, delay:0.50459826, throughput:1786
REAL_TEST step:36, travel time:242.35807631991636, q_loss:100, rewards:-94.21861, queue:55.9, delay:0.58125967, throughput:1771
REAL_TEST step:39, travel time:219.01777313120752, q_loss:100, rewards:-81.39916, queue:43.136112, delay:0.5408078, throughput:1796
REAL_TEST step:42, travel time:218.6283324621014, q_loss:100, rewards:-81.1958, queue:43.175, delay:0.45356733, throughput:1789
REAL_TEST step:45, travel time:184.37846314688971, q_loss:100, rewards:-62.434696, queue:24.291666, delay:0.43815443, throughput:1828
REAL_TEST step:48, travel time:170.8055410350235, q_loss:100, rewards:-55.229168, queue:17.366667, delay:0.5094144, throughput:1824
REAL_TEST step:51, travel time:162.2404600104548, q_loss:100, rewards:-50.66582, queue:12.869445, delay:0.44550577, throughput:1819
REAL_TEST step:54, travel time:175.9466806063774, q_loss:100, rewards:-58.047504, queue:19.811111, delay:0.5598244, throughput:1834
REAL_TEST step:57, travel time:163.25457396759018, q_loss:100, rewards:-51.203045, queue:13.427778, delay:0.44242364, throughput:1826
REAL_TEST step:60, travel time:425.72399372713016, q_loss:100, rewards:-202.6547, queue:167.975, delay:0.6609822, throughput:1251
REAL_TEST step:63, travel time:239.23836905384212, q_loss:100, rewards:-93.27467, queue:55.475, delay:0.55478704, throughput:1736
REAL_TEST step:66, travel time:160.6116048092002, q_loss:100, rewards:-49.778347, queue:12.016666, delay:0.46040335, throughput:1829
REAL_TEST step:69, travel time:166.85415577626765, q_loss:100, rewards:-53.10695, queue:15.027778, delay:0.49602988, throughput:1820
REAL_TEST step:72, travel time:173.0209095661265, q_loss:100, rewards:-57.70665, queue:19.841667, delay:0.45711368, throughput:1764
REAL_TEST step:75, travel time:154.48405645582855, q_loss:100, rewards:-46.434723, queue:8.775, delay:0.42840105, throughput:1833
REAL_TEST step:78, travel time:157.22895974908522, q_loss:100, rewards:-47.90971, queue:10.244445, delay:0.42970207, throughput:1823
REAL_TEST step:81, travel time:311.4803972817564, q_loss:100, rewards:-132.23691, queue:94.91944, delay:0.59199893, throughput:1716
REAL_TEST step:84, travel time:165.3690538421328, q_loss:100, rewards:-52.33833, queue:14.425, delay:0.47539985, throughput:1827
REAL_TEST step:87, travel time:192.90956612650288, q_loss:100, rewards:-67.52555, queue:29.683332, delay:0.51057047, throughput:1802
REAL_TEST step:90, travel time:276.3930998431783, q_loss:100, rewards:-113.03883, queue:75.24167, delay:0.6194984, throughput:1749
REAL_TEST step:93, travel time:159.1986408782018, q_loss:100, rewards:-48.991932, queue:11.122222, delay:0.43340275, throughput:1832
