Loading cached latent encoders from pretrained/atc/presslight/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_16/baseline_v1_atc_s0/model/tempe_16_noise5_presslight_latent_observation -> eval real_setting=sensor50
REAL_TEST step:2, travel time:1594.3460076045628, q_loss:100, rewards:-1564.4778, queue:120.030205, delay:0.3909663, throughput:3774
REAL_TEST step:4, travel time:591.9138712006827, q_loss:100, rewards:-1357.9397, queue:50.968227, delay:0.28386962, throughput:11794
REAL_TEST step:6, travel time:605.7738636363637, q_loss:100, rewards:-1248.2688, queue:54.695835, delay:0.24163674, throughput:12075
REAL_TEST step:8, travel time:791.2685753708175, q_loss:100, rewards:-1046.953, queue:76.479, delay:0.32822526, throughput:9862
REAL_TEST step:10, travel time:569.3317347542925, q_loss:100, rewards:-1380.5399, queue:52.077602, delay:0.26060423, throughput:13301
REAL_TEST step:12, travel time:496.21373958689946, q_loss:100, rewards:-1070.7604, queue:50.854862, delay:0.29085743, throughput:13656
REAL_TEST step:14, travel time:492.2643872714963, q_loss:100, rewards:-957.465, queue:45.89809, delay:0.23720494, throughput:13636
REAL_TEST step:16, travel time:561.2713962001046, q_loss:100, rewards:-1226.5522, queue:53.06719, delay:0.19150619, throughput:13396
REAL_TEST step:18, travel time:466.8608530921535, q_loss:100, rewards:-1055.9371, queue:60.03941, delay:0.2577339, throughput:13619
REAL_TEST step:20, travel time:576.130764449969, q_loss:100, rewards:-1060.8241, queue:58.6375, delay:0.23629612, throughput:12399
REAL_TEST step:22, travel time:690.8064649527879, q_loss:100, rewards:-1145.8021, queue:54.117535, delay:0.26041573, throughput:10766
REAL_TEST step:24, travel time:570.9927210582948, q_loss:100, rewards:-877.98883, queue:58.29861, delay:0.24192636, throughput:12115
REAL_TEST step:26, travel time:670.458944281525, q_loss:100, rewards:-1255.5698, queue:65.917885, delay:0.26198688, throughput:11521
REAL_TEST step:28, travel time:556.6555147988869, q_loss:100, rewards:-1282.9733, queue:56.835243, delay:0.24764659, throughput:12697
REAL_TEST step:30, travel time:560.4179722140112, q_loss:100, rewards:-1179.9272, queue:44.28455, delay:0.25695974, throughput:12741
REAL_TEST step:32, travel time:467.67003021148037, q_loss:100, rewards:-740.3949, queue:42.178646, delay:0.26782215, throughput:13311
REAL_TEST step:34, travel time:647.8246247020166, q_loss:100, rewards:-1131.898, queue:67.042885, delay:0.2880742, throughput:11664
REAL_TEST step:36, travel time:608.3083854818523, q_loss:100, rewards:-1165.792, queue:55.251736, delay:0.24367473, throughput:11775
REAL_TEST step:38, travel time:589.8249336870026, q_loss:100, rewards:-931.17847, queue:35.64462, delay:0.23653802, throughput:11775
REAL_TEST step:40, travel time:875.0618323586745, q_loss:100, rewards:-1152.3093, queue:80.4026, delay:0.2975286, throughput:8547
REAL_TEST step:42, travel time:948.553260015711, q_loss:100, rewards:-1229.9012, queue:71.48993, delay:0.25211892, throughput:8114
REAL_TEST step:44, travel time:496.5405858259898, q_loss:100, rewards:-726.3019, queue:40.440624, delay:0.25507084, throughput:13006
REAL_TEST step:46, travel time:492.8354514244414, q_loss:100, rewards:-893.3849, queue:34.738194, delay:0.20943582, throughput:13296
REAL_TEST step:48, travel time:603.9831840614147, q_loss:100, rewards:-883.594, queue:45.937325, delay:0.22770506, throughput:12810
REAL_TEST step:50, travel time:384.24874018516346, q_loss:100, rewards:-714.54956, queue:31.309202, delay:0.2293771, throughput:14345
REAL_TEST step:52, travel time:565.187854399122, q_loss:100, rewards:-952.6361, queue:59.632812, delay:0.25436544, throughput:12565
REAL_TEST step:54, travel time:535.431600630074, q_loss:100, rewards:-1047.1462, queue:41.656425, delay:0.2352054, throughput:12764
REAL_TEST step:56, travel time:703.4226627340696, q_loss:100, rewards:-1229.9164, queue:68.56927, delay:0.27383158, throughput:10491
REAL_TEST step:58, travel time:667.8255192878338, q_loss:100, rewards:-1071.9827, queue:56.797398, delay:0.25926453, throughput:11100
REAL_TEST step:60, travel time:509.47128183310036, q_loss:100, rewards:-1235.0504, queue:51.13177, delay:0.2365315, throughput:12991
REAL_TEST step:62, travel time:598.1136378236012, q_loss:100, rewards:-1155.0396, queue:61.831078, delay:0.25553012, throughput:11883
REAL_TEST step:64, travel time:427.944027602826, q_loss:100, rewards:-956.6341, queue:37.282467, delay:0.2609923, throughput:15052
