replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_dqn/tempe_1x1/action_delay_optimized_s0_naive_s0/model/tempe_1x1_setting1_dqn_naive -> eval real_setting=setting2
REAL_TEST step:3, travel time:658.6910611604809, q_loss:100, rewards:-185.07960069444445, queue:292.71944444444443, delay:0.7383314344618056, throughput:1324, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:627.8222686879247, q_loss:100, rewards:-180.91128472222223, queue:278.15277777777777, delay:0.7505228678385417, throughput:1240, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:625.0125457396759, q_loss:100, rewards:-179.94373914930554, queue:276.5833333333333, delay:0.7541097852918837, throughput:1243, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:780.3110297961317, q_loss:100, rewards:-226.63211805555557, queue:365.1694444444444, delay:0.7458389282226563, throughput:1025, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:745.7119707266074, q_loss:100, rewards:-215.88953993055554, queue:345.15833333333336, delay:0.7370752970377604, throughput:1072, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:755.2822791427078, q_loss:100, rewards:-220.24691840277777, queue:349.9555555555556, delay:0.7386689927842882, throughput:1088, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:748.7558808154731, q_loss:100, rewards:-217.68493923611112, queue:346.6777777777778, delay:0.7402883741590712, throughput:1086, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:756.501829587036, q_loss:100, rewards:-220.69769965277777, queue:350.52222222222224, delay:0.7386825561523438, throughput:1088, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:750.1787767903816, q_loss:100, rewards:-217.82059461805557, queue:347.21666666666664, delay:0.7395214504665799, throughput:1081, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:726.2749607945635, q_loss:100, rewards:-209.61447482638889, queue:333.9555555555556, delay:0.7383771260579427, throughput:1105, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:721.9864087820177, q_loss:100, rewards:-207.95737847222222, queue:331.71944444444443, delay:0.7383590698242187, throughput:1105, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:731.6267642446419, q_loss:100, rewards:-211.66749131944445, queue:335.9888888888889, delay:0.7380644904242621, throughput:1147, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:707.9879769994773, q_loss:100, rewards:-204.45568576388888, queue:319.94166666666666, delay:0.7362557305230035, throughput:1295, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:678.031887088343, q_loss:100, rewards:-195.04281684027777, queue:304.5861111111111, delay:0.7361431545681424, throughput:1276, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:679.8128593831678, q_loss:100, rewards:-193.65805121527777, queue:304.9527777777778, delay:0.7363250732421875, throughput:1291, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:740.038682697334, q_loss:100, rewards:-214.50397135416668, queue:337.93888888888887, delay:0.7409759521484375, throughput:1271, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:749.1082070047047, q_loss:100, rewards:-216.84928385416666, queue:346.4583333333333, delay:0.7432282341851129, throughput:1079, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:702.1604809200209, q_loss:100, rewards:-199.28530815972223, queue:316.825, delay:0.7399672614203558, throughput:1297, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:688.8975431259802, q_loss:100, rewards:-195.5751736111111, queue:309.93888888888887, delay:0.7407687717013889, throughput:1291, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:60, travel time:646.0219550444328, q_loss:100, rewards:-182.30481770833333, queue:287.15, delay:0.7403199937608507, throughput:1273, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:63, travel time:730.0329325666493, q_loss:100, rewards:-209.7531684027778, queue:332.075, delay:0.736303202311198, throughput:1254, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:66, travel time:612.6126502875065, q_loss:100, rewards:-172.54998914930556, queue:268.27777777777777, delay:0.7299034966362847, throughput:1313, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:69, travel time:634.9702038682698, q_loss:100, rewards:-178.7263888888889, queue:281.30833333333334, delay:0.7372267829047309, throughput:1272, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:72, travel time:629.3993727130162, q_loss:100, rewards:-177.36355251736111, queue:278.34444444444443, delay:0.7388761732313368, throughput:1266, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:75, travel time:671.6989022477784, q_loss:100, rewards:-194.36015625, queue:301.0472222222222, delay:0.7346358405219184, throughput:1260, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:78, travel time:654.5697856769472, q_loss:100, rewards:-188.2050564236111, queue:292.1138888888889, delay:0.7333036634657119, throughput:1262, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:81, travel time:756.6883597883598, q_loss:100, rewards:-221.45653211805555, queue:341.72222222222223, delay:0.737337409125434, throughput:1287, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:84, travel time:804.9412724306688, q_loss:100, rewards:-233.76966145833333, queue:360.0388888888889, delay:0.7347067091200087, throughput:1075, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:87, travel time:739.9994772608468, q_loss:100, rewards:-217.84995659722222, queue:339.76944444444445, delay:0.7364139980740018, throughput:1156, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:90, travel time:619.6711970726608, q_loss:100, rewards:-178.59254557291666, queue:272.97777777777776, delay:0.7467456393771701, throughput:1265, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:93, travel time:830.050686378036, q_loss:100, rewards:-247.73862847222222, queue:386.2416666666667, delay:0.7408839755588108, throughput:1056, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:96, travel time:616.3910088865656, q_loss:100, rewards:-177.02796223958333, queue:271.18333333333334, delay:0.7486490037706163, throughput:1265, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:99, travel time:624.7736539466806, q_loss:100, rewards:-179.06976996527777, queue:277.3888888888889, delay:0.7544901529947917, throughput:1213, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:102, travel time:895.5660694288914, q_loss:100, rewards:-256.1365234375, queue:394.48333333333335, delay:0.736631096733941, throughput:1110, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
