Delayed-Q enabled: m=2 decision(s) of assumed delay (sim_delay=20, real_delay=40)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_presslight/cologne1/action_delay_optimized_s0_delayed_q_s0/model/cologne1_setting1_presslight_delayed_q -> eval real_setting=setting3
REAL_TEST step:3, travel time:185.75516693163752, q_loss:100, rewards:-74.66804470486112, queue:67.21388888888889, delay:0.6004972669813368, throughput:1818, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:228.27689369828136, q_loss:100, rewards:-56.28583984375, queue:49.30277777777778, delay:0.5629556020100911, throughput:1445, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:212.16152897657213, q_loss:100, rewards:-53.801123046875, queue:46.875, delay:0.5544528537326389, throughput:1505, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:214.4730971128609, q_loss:100, rewards:-60.459445529513886, queue:53.647222222222226, delay:0.5917474534776476, throughput:1407, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:185.36275773195877, q_loss:100, rewards:-53.751117621527776, queue:46.80555555555556, delay:0.5947219000922309, throughput:1455, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:185.36275773195877, q_loss:100, rewards:-53.751117621527776, queue:46.80555555555556, delay:0.5947219000922309, throughput:1455, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:140.4568261376896, q_loss:100, rewards:-50.41834309895833, queue:42.83611111111111, delay:0.5887582567003038, throughput:1624, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:144.99639206253758, q_loss:100, rewards:-51.02082248263889, queue:43.580555555555556, delay:0.5873025682237413, throughput:1573, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:572.6954225352113, q_loss:100, rewards:-122.02332899305556, queue:116.89722222222223, delay:0.7991021050347222, throughput:1008, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:142.60404280618312, q_loss:100, rewards:-50.35333116319445, queue:42.86388888888889, delay:0.5775765313042535, throughput:1592, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:139.7464528069093, q_loss:100, rewards:-46.39997829861111, queue:38.99444444444445, delay:0.5917224884033203, throughput:1545, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:150.4759586122946, q_loss:100, rewards:-52.516650390625, queue:45.13333333333333, delay:0.5873292711046006, throughput:1552, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:126.86636971046771, q_loss:100, rewards:-47.29278428819445, queue:39.541666666666664, delay:0.5709095848931207, throughput:1714, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:127.57656163626312, q_loss:100, rewards:-47.329427083333336, queue:39.62222222222222, delay:0.5845744238959418, throughput:1729, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:88.97468982630274, q_loss:100, rewards:-34.71499565972222, queue:26.155555555555555, delay:0.5337546878390842, throughput:1982, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:146.5289124668435, q_loss:100, rewards:-45.4352783203125, queue:37.352777777777774, delay:0.5739175584581163, throughput:1853, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:106.40764647467726, q_loss:100, rewards:-39.47249077690972, queue:30.980555555555554, delay:0.5579769558376736, throughput:1984, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:167.16468590831917, q_loss:100, rewards:-46.661946614583336, queue:39.111111111111114, delay:0.5462443457709418, throughput:1666, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:135.96348773841962, q_loss:100, rewards:-42.96972927517361, queue:35.08611111111111, delay:0.5490187327067058, throughput:1740, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:60, travel time:146.85378151260505, q_loss:100, rewards:-44.15332845052083, queue:36.46944444444444, delay:0.5505383809407552, throughput:1693, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:63, travel time:155.95644283121598, q_loss:100, rewards:-53.56944986979167, queue:46.23888888888889, delay:0.5950875176323784, throughput:1564, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:66, travel time:143.2019122609674, q_loss:100, rewards:-44.72610677083333, queue:37.077777777777776, delay:0.5500614166259765, throughput:1684, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:69, travel time:94.1182092555332, q_loss:100, rewards:-39.385555013020834, queue:31.05, delay:0.5558559417724609, throughput:1922, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
