MORLGrid: 22 grid policies
SIM_TRAIN step:0, travel time:31.319533527696795, q_loss:0, rewards:-1.7005551, queue:0.48055556, delay:0.07569419, throughput:1706, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:1, travel time:33.44198250728863, q_loss:0, rewards:-1.8280556, queue:0.5777778, delay:0.08744524, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:2, travel time:38.55568513119533, q_loss:12.436203, rewards:-1.784444, queue:0.5888889, delay:0.097673014, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:3, travel time:35.55393586005831, q_loss:1.9061979, rewards:-2.2763877, queue:1.0222223, delay:0.1122815, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:4, travel time:44.43790087463557, q_loss:0.30532366, rewards:-6.4813843, queue:4.7555556, delay:0.12073393, throughput:1703, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:5, travel time:42.22973760932945, q_loss:0.13596314, rewards:-4.9494452, queue:3.1916666, delay:0.12338829, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:6, travel time:32.04314868804665, q_loss:0.10844837, rewards:-2.3086107, queue:0.975, delay:0.08703956, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:7, travel time:31.18600583090379, q_loss:0.08668213, rewards:-2.0247226, queue:0.8, delay:0.075202085, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:8, travel time:31.04548104956268, q_loss:0.054874185, rewards:-1.6102774, queue:0.4722222, delay:0.07520615, throughput:1707, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:1, travel time:36.60466472303207, q_loss:100, rewards:-5.07, queue:1.2055556, delay:0.15481915, throughput:1701, R_real:-0.4365, components:{'queue': 0.006, 'delay': 0.0, 'waiting': 0.015, 'pressure': 0.0, 'switches': 0.0, 'fairness': 0.416}, raw_metrics:{'fairness': 0.0, 'emission': 80.714, 'fuel': 26.166, 'emergency_stops': 1.0, 'collisions': 0.0, 'ssm_conflicts': 259.0}, grid;w=queue=0.167;delay=0.167;waiting=0.167;pressure=0.167;switches=0.167;fairness=0.167
SIM_TRAIN step:9, travel time:40.47172011661807, q_loss:0, rewards:-1.8155557, queue:0.5861111, delay:0.0899953, throughput:1706, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:10, travel time:38.841399416909624, q_loss:0, rewards:-1.7830553, queue:0.575, delay:0.08686707, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:11, travel time:35.95743440233236, q_loss:10.327415, rewards:-1.6391666, queue:0.46666667, delay:0.0899402, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:12, travel time:62.6868804664723, q_loss:2.536858, rewards:-3.874724, queue:2.4861112, delay:0.1965455, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:13, travel time:72.36093294460642, q_loss:0.31760165, rewards:-3.4061112, queue:2.0416667, delay:0.18521114, throughput:1691, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:14, travel time:40.626239067055394, q_loss:0.10275266, rewards:-3.6872237, queue:2.1472223, delay:0.15795226, throughput:1705, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:15, travel time:59.1497668997669, q_loss:0.06389844, rewards:-10.343331, queue:8.411111, delay:0.17291428, throughput:1666, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:16, travel time:92.51195335276968, q_loss:0.07765361, rewards:-6.922778, queue:4.775, delay:0.16581705, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:17, travel time:61.91253644314869, q_loss:0.053166825, rewards:-6.8011117, queue:4.7777777, delay:0.14949085, throughput:1704, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:2, travel time:167.38867635807193, q_loss:100, rewards:-49.96555, queue:47.716667, delay:0.41270363, throughput:1224, R_real:-23.3092, components:{'queue': 0.217, 'delay': 0.0, 'waiting': 20.032, 'pressure': 0.0, 'switches': 0.0, 'fairness': 3.06}, raw_metrics:{'fairness': 122.0, 'emission': 309.251, 'fuel': 100.257, 'emergency_stops': 3.0, 'collisions': 0.0, 'ssm_conflicts': 399.0}, grid;w=queue=1.0
SIM_TRAIN step:18, travel time:33.074635568513116, q_loss:0, rewards:-1.8472227, queue:0.6027778, delay:0.08782649, throughput:1706, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:19, travel time:31.917201166180757, q_loss:0, rewards:-1.6480552, queue:0.51944447, delay:0.08291338, throughput:1706, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:20, travel time:35.27521865889213, q_loss:11.3697405, rewards:-1.873889, queue:0.62222224, delay:0.084851734, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:21, travel time:44.27405247813411, q_loss:1.8545144, rewards:-2.9208324, queue:1.5444444, delay:0.13927943, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:22, travel time:37.75801749271137, q_loss:0.24756016, rewards:-3.8552768, queue:2.3055556, delay:0.11758222, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:23, travel time:39.453644314868804, q_loss:0.09811113, rewards:-4.3144445, queue:2.5805554, delay:0.13110301, throughput:1701, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:24, travel time:34.927113702623906, q_loss:0.062226783, rewards:-3.0805566, queue:1.5944444, delay:0.11238301, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:25, travel time:34.262390670553934, q_loss:0.04251901, rewards:-2.7791674, queue:1.4138889, delay:0.105071366, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:26, travel time:31.969096209912536, q_loss:0.03228231, rewards:-2.170555, queue:0.8527778, delay:0.0877319, throughput:1707, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:3, travel time:101.57667638483964, q_loss:100, rewards:-33.41917, queue:29.775, delay:0.352093, throughput:1697, R_real:-8.4006, components:{'queue': 0.134, 'delay': 0.0, 'waiting': 6.4, 'pressure': 0.0, 'switches': 0.0, 'fairness': 1.867}, raw_metrics:{'fairness': 158.0, 'emission': 237.605, 'fuel': 77.029, 'emergency_stops': 4.0, 'collisions': 0.0, 'ssm_conflicts': 642.0}, grid;w=delay=1.0
SIM_TRAIN step:27, travel time:31.868221574344023, q_loss:0, rewards:-1.7355555, queue:0.5694444, delay:0.08295403, throughput:1706, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:28, travel time:36.53644314868804, q_loss:0, rewards:-1.639999, queue:0.50555557, delay:0.087481394, throughput:1706, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:29, travel time:31.64781341107872, q_loss:11.101934, rewards:-2.0336118, queue:0.7361111, delay:0.08301902, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:30, travel time:79.4338192419825, q_loss:2.083463, rewards:-3.3652775, queue:2.0194445, delay:0.19448811, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:31, travel time:45.97784256559767, q_loss:0.24578597, rewards:-3.6666663, queue:2.113889, delay:0.14475544, throughput:1706, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:32, travel time:58.39708454810496, q_loss:0.11232393, rewards:-6.5444484, queue:4.677778, delay:0.16604322, throughput:1677, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:33, travel time:35.49737609329446, q_loss:0.0738365, rewards:-2.978888, queue:1.5611111, delay:0.122456245, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:34, travel time:33.584256559766764, q_loss:0.057365205, rewards:-2.7547224, queue:1.3833333, delay:0.113662876, throughput:1704, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:35, travel time:33.12886297376093, q_loss:0.04362572, rewards:-2.6683335, queue:1.25, delay:0.105373025, throughput:1707, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:4, travel time:116.00650118203309, q_loss:100, rewards:-42.001667, queue:38.586113, delay:0.41989297, throughput:1633, R_real:-11.2807, components:{'queue': 0.174, 'delay': 0.0, 'waiting': 8.287, 'pressure': 0.0, 'switches': 0.0, 'fairness': 2.819}, raw_metrics:{'fairness': 162.0, 'emission': 281.962, 'fuel': 91.41, 'emergency_stops': 3.0, 'collisions': 0.0, 'ssm_conflicts': 665.0}, grid;w=waiting=1.0
SIM_TRAIN step:36, travel time:36.2402332361516, q_loss:0, rewards:-1.8163898, queue:0.5611111, delay:0.08990238, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:37, travel time:35.23381924198251, q_loss:0, rewards:-1.8430545, queue:0.5972222, delay:0.086227044, throughput:1706, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:38, travel time:37.65889212827988, q_loss:13.316355, rewards:-1.8513882, queue:0.6638889, delay:0.0917967, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:39, travel time:36.35393586005831, q_loss:2.0012617, rewards:-2.3444428, queue:1.1472223, delay:0.12619995, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:40, travel time:43.01574344023324, q_loss:0.4459294, rewards:-2.6638882, queue:1.3361111, delay:0.12263838, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:41, travel time:47.65364431486881, q_loss:0.30681556, rewards:-2.0522223, queue:0.8888889, delay:0.118044786, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:42, travel time:37.307871720116616, q_loss:0.2090405, rewards:-1.9225003, queue:0.83055556, delay:0.10542999, throughput:1707, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:43, travel time:76.96268221574344, q_loss:0.21524644, rewards:-2.6055565, queue:1.3194444, delay:0.14651217, throughput:1655, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:44, travel time:85.66005830903791, q_loss:0.20979746, rewards:-2.2663898, queue:0.9388889, delay:0.12384665, throughput:1572, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:5, travel time:114.13969465648854, q_loss:100, rewards:-32.520008, queue:29.461111, delay:0.42230636, throughput:1258, R_real:-38.1507, components:{'queue': 0.144, 'delay': 0.0, 'waiting': 27.875, 'pressure': 0.0, 'switches': 0.0, 'fairness': 10.131}, raw_metrics:{'fairness': 551.0, 'emission': 212.451, 'fuel': 68.875, 'emergency_stops': 1.0, 'collisions': 0.0, 'ssm_conflicts': 527.0}, grid;w=pressure=1.0
SIM_TRAIN step:45, travel time:31.37142857142857, q_loss:0, rewards:-1.726666, queue:0.49166667, delay:0.08428439, throughput:1706, raw_metrics:{'fairness': 0.0}
