PRLight neighbor topology (radius=600): {0: []}
PRLight (one-shot neighbor-aware prediction): m=2 decision(s) of assumed delay (sim_delay=20, real_delay=30)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_presslight/bullhead_1/action_delay_optimized_s0_prlight_s0/model/bullhead_1_setting1_presslight_prlight -> eval real_setting=setting2
REAL_TEST step:3, travel time:434.20252167060676, q_loss:100, rewards:-133.53504774305554, queue:112.89444444444445, delay:0.8370899624294705, throughput:1179, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:176.09580838323353, q_loss:100, rewards:-44.14192165798611, queue:20.34722222222222, delay:0.8085016886393229, throughput:1273, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:177.34805389221557, q_loss:100, rewards:-44.608311631944446, queue:20.85, delay:0.8182801988389757, throughput:1277, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:202.2430607651913, q_loss:100, rewards:-54.05693901909722, queue:30.505555555555556, delay:0.8256449381510417, throughput:1258, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:233.52813203300826, q_loss:100, rewards:-67.31416558159722, queue:44.33611111111111, delay:0.8456685384114583, throughput:1144, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:261.1732933233308, q_loss:100, rewards:-78.439990234375, queue:55.794444444444444, delay:0.8638064914279514, throughput:1086, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:245.21680420105025, q_loss:100, rewards:-71.37665473090277, queue:48.358333333333334, delay:0.8472203572591146, throughput:1166, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:259.5348837209302, q_loss:100, rewards:-76.98248697916667, queue:54.294444444444444, delay:0.8325960795084636, throughput:1120, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:193.3293502613891, q_loss:100, rewards:-50.69611545138889, queue:26.95, delay:0.8380665249294705, throughput:1271, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:286.3480113636364, q_loss:100, rewards:-90.44693467881945, queue:67.94444444444444, delay:0.8649457295735677, throughput:1286, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:215.563309352518, q_loss:100, rewards:-61.725276692708334, queue:38.27777777777778, delay:0.7375521341959635, throughput:1296, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:238.6734693877551, q_loss:100, rewards:-69.33362630208333, queue:46.125, delay:0.7937786526150173, throughput:1304, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:251.55339105339107, q_loss:100, rewards:-74.97333441840277, queue:52.00555555555555, delay:0.8356025695800782, throughput:1287, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:498.4841745081266, q_loss:100, rewards:-148.35319010416666, queue:129.40555555555557, delay:0.8544975280761719, throughput:864, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:176.49641319942612, q_loss:100, rewards:-46.83971896701389, queue:22.991666666666667, delay:0.7815633985731337, throughput:1272, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:175.54341317365268, q_loss:100, rewards:-43.95859646267361, queue:20.09722222222222, delay:0.804721917046441, throughput:1277, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:167.08005930318754, q_loss:100, rewards:-41.24696180555556, queue:17.394444444444446, delay:0.7936308119032118, throughput:1286, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:166.16005873715125, q_loss:100, rewards:-41.35971950954861, queue:17.525, delay:0.7783637152777778, throughput:1288, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:203.35672937771346, q_loss:100, rewards:-56.26942274305556, queue:32.83888888888889, delay:0.8211269802517361, throughput:1307, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:60, travel time:374.7494521548576, q_loss:100, rewards:-124.50670572916667, queue:103.85, delay:0.8230845981174045, throughput:1119, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:63, travel time:203.82412060301507, q_loss:100, rewards:-56.98636067708333, queue:33.56944444444444, delay:0.7909619649251302, throughput:1327, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:66, travel time:222.41899852724595, q_loss:100, rewards:-62.53413628472222, queue:39.397222222222226, delay:0.8143639458550347, throughput:1283, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:69, travel time:315.1787264833575, q_loss:100, rewards:-103.01110026041667, queue:81.38888888888889, delay:0.7786915249294705, throughput:1067, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:72, travel time:263.047093451067, q_loss:100, rewards:-79.848095703125, queue:56.958333333333336, delay:0.805020989312066, throughput:1177, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:75, travel time:211.87943786982248, q_loss:100, rewards:-59.31803927951389, queue:35.87777777777778, delay:0.8227448357476128, throughput:1227, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:78, travel time:223.32260479041915, q_loss:100, rewards:-61.83583984375, queue:38.38055555555555, delay:0.8181543986002604, throughput:1280, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:81, travel time:214.00074738415546, q_loss:100, rewards:-58.40861545138889, queue:34.84166666666667, delay:0.8227590772840712, throughput:1271, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:84, travel time:230.90875093492895, q_loss:100, rewards:-64.70722113715277, queue:41.275, delay:0.8122159322102864, throughput:1237, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:87, travel time:236.53967065868264, q_loss:100, rewards:-66.70029296875, queue:43.32222222222222, delay:0.8187747531467013, throughput:1232, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:90, travel time:224.63181478715458, q_loss:100, rewards:-63.52804361979167, queue:40.30555555555556, delay:0.8175235324435763, throughput:1189, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:93, travel time:205.0455563853622, q_loss:100, rewards:-56.03860677083333, queue:32.55277777777778, delay:0.811849382188585, throughput:1220, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:96, travel time:188.83903860160234, q_loss:100, rewards:-51.651676432291666, queue:28.105555555555554, delay:0.7623934427897135, throughput:1230, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:99, travel time:191.17521994134898, q_loss:100, rewards:-51.38665907118055, queue:27.769444444444446, delay:0.8037149217393663, throughput:1271, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:102, travel time:290.71783625730995, q_loss:100, rewards:-91.47970920138889, queue:69.22777777777777, delay:0.8077999538845486, throughput:1119, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:105, travel time:270.84145454545455, q_loss:100, rewards:-83.75030924479167, queue:61.05833333333333, delay:0.8018522474500868, throughput:1165, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:108, travel time:207.04420289855074, q_loss:100, rewards:-58.17365451388889, queue:34.580555555555556, delay:0.8267957051595052, throughput:1291, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:111, travel time:246.74871794871794, q_loss:100, rewards:-73.92057834201388, queue:51.08888888888889, delay:0.7856752183702257, throughput:1157, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:114, travel time:305.66256335988413, q_loss:100, rewards:-98.55337456597222, queue:76.56944444444444, delay:0.8053541395399305, throughput:1107, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:117, travel time:278.64011585807384, q_loss:100, rewards:-87.420849609375, queue:64.875, delay:0.8146016438802083, throughput:1156, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:120, travel time:217.70489408327245, q_loss:100, rewards:-61.205555555555556, queue:37.68888888888889, delay:0.7936141967773438, throughput:1310, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:123, travel time:364.7574183976261, q_loss:100, rewards:-119.7875, queue:99.3, delay:0.8204647488064236, throughput:1050, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:126, travel time:221.3622754491018, q_loss:100, rewards:-61.08334418402778, queue:37.577777777777776, delay:0.8088907029893663, throughput:1272, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:129, travel time:290.33008982035926, q_loss:100, rewards:-88.82366536458333, queue:66.41388888888889, delay:0.8180096944173177, throughput:1110, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:132, travel time:200.53236363636364, q_loss:100, rewards:-56.270024956597226, queue:33.00277777777778, delay:0.8058942159016927, throughput:1224, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:135, travel time:206.6268221574344, q_loss:100, rewards:-57.644146050347224, queue:34.18611111111111, delay:0.7907313876681857, throughput:1276, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:138, travel time:234.97301239970824, q_loss:100, rewards:-69.33143446180556, queue:46.06666666666667, delay:0.8144983927408854, throughput:1221, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
