Delayed-Q enabled: m=2 decision(s) of assumed delay (sim_delay=20, real_delay=40)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_presslight/ingolstadt1/action_delay_optimized_s0_delayed_q_s0/model/ingolstadt1_setting1_presslight_delayed_q -> eval real_setting=setting3
REAL_TEST step:3, travel time:174.2664872139973, q_loss:100, rewards:-43.582774522569444, queue:41.080555555555556, delay:0.4165935940212674, throughput:1391, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:130.4723707664884, q_loss:100, rewards:-35.09638671875, queue:31.866666666666667, delay:0.37308218214246963, throughput:1605, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:98.40688849970812, q_loss:100, rewards:-18.102783203125, queue:14.53888888888889, delay:0.31792076958550347, throughput:1685, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:102.99125364431487, q_loss:100, rewards:-26.289729817708334, queue:22.772222222222222, delay:0.34092269473605685, throughput:1678, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:91.62507288629737, q_loss:100, rewards:-15.5, queue:11.830555555555556, delay:0.2996363321940104, throughput:1676, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:78.60816326530612, q_loss:100, rewards:-13.650830078125, queue:9.802777777777777, delay:0.2993226793077257, throughput:1676, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:84.95160349854227, q_loss:100, rewards:-14.030830891927083, queue:10.266666666666667, delay:0.3035562303331163, throughput:1677, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:102.61959134615384, q_loss:100, rewards:-10.563332790798611, queue:6.716666666666667, delay:0.2848341412014431, throughput:1619, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:104.65344722391703, q_loss:100, rewards:-10.832777913411459, queue:7.019444444444445, delay:0.2846687104966905, throughput:1580, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:129.7214236824093, q_loss:100, rewards:-9.57666965060764, queue:5.883333333333334, delay:0.308794191148546, throughput:1415, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:88.10611510791367, q_loss:100, rewards:-12.269997829861111, queue:8.363888888888889, delay:0.308531739976671, throughput:1632, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:132.19930555555555, q_loss:100, rewards:-10.239449734157986, queue:6.591666666666667, delay:0.3164083056979709, throughput:1386, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:90.82288299935358, q_loss:100, rewards:-9.515555826822917, queue:5.808333333333334, delay:0.2764282438490126, throughput:1493, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:86.75160349854228, q_loss:100, rewards:-9.947500949435764, queue:6.102777777777778, delay:0.29186664157443576, throughput:1690, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:154.17612380250551, q_loss:100, rewards:-11.269171142578125, queue:7.691666666666666, delay:0.3369472291734483, throughput:1301, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:133.63736263736263, q_loss:100, rewards:-8.547223578559027, queue:4.830555555555556, delay:0.27052953508165145, throughput:1400, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:118.10783699059562, q_loss:100, rewards:-8.584444851345486, queue:4.7972222222222225, delay:0.28826891581217445, throughput:1565, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:110.72128279883383, q_loss:100, rewards:-30.9552734375, queue:27.42222222222222, delay:0.36618656582302517, throughput:1653, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:162.25298804780877, q_loss:100, rewards:-41.59085286458333, queue:39.03055555555556, delay:0.41490279303656685, throughput:1434, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
