MORLGrid: 16 grid policies
SIM_TRAIN step:28, travel time:121.01267605633802, q_loss:0, rewards:-5.6847224, queue:3.0611112, delay:0.62388283, throughput:1398, raw_metrics:{'fairness': 819.0}
SIM_TRAIN step:29, travel time:121.37464788732395, q_loss:2.4721394, rewards:-5.7847223, queue:3.1111112, delay:0.6036213, throughput:1399, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:30, travel time:217.20689655172413, q_loss:1.0555239, rewards:-44.27695, queue:37.113888, delay:0.7234284, throughput:1376, raw_metrics:{'fairness': 1035.0}
SIM_TRAIN step:31, travel time:148.27394366197183, q_loss:0.34742388, rewards:-18.498888, queue:14.247222, delay:0.75698334, throughput:1337, raw_metrics:{'fairness': 1036.0}
SIM_TRAIN step:32, travel time:182.34647887323945, q_loss:0.3537496, rewards:-28.76083, queue:24.894444, delay:0.8165456, throughput:1373, raw_metrics:{'fairness': 212.0}
SIM_TRAIN step:33, travel time:140.06338028169014, q_loss:0.67792916, rewards:-13.123616, queue:10.069445, delay:0.76055044, throughput:1396, raw_metrics:{'fairness': 1033.0}
SIM_TRAIN step:34, travel time:137.69788732394366, q_loss:0.54680383, rewards:-12.399166, queue:8.663889, delay:0.6328269, throughput:1387, raw_metrics:{'fairness': 332.0}
SIM_TRAIN step:35, travel time:135.57676056338028, q_loss:0.40386313, rewards:-11.365557, queue:7.6361113, delay:0.5511943, throughput:1400, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:4, travel time:242.6425470332851, q_loss:100, rewards:-71.88834, queue:48.441666, delay:0.85169667, throughput:1292, R_real:-10.4812, components:{'queue': 0.523, 'delay': 0.852, 'waiting': 9.106, 'pressure': 0.0, 'switches': 0.0}, raw_metrics:{'fairness': 680.0, 'emission': 619.136, 'fuel': 200.718, 'emergency_stops': 4.0, 'collisions': 0.0, 'ssm_conflicts': 1131.0}, grid;w=waiting=1.0
SIM_TRAIN step:36, travel time:121.47394366197183, q_loss:0, rewards:-5.8058324, queue:3.1944444, delay:0.610409, throughput:1399, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:37, travel time:121.44718309859155, q_loss:0, rewards:-5.792503, queue:3.1527777, delay:0.5905763, throughput:1399, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:38, travel time:121.3330985915493, q_loss:2.4434438, rewards:-5.8380566, queue:3.1333334, delay:0.58100593, throughput:1397, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:39, travel time:143.0950704225352, q_loss:0.83431923, rewards:-14.562494, queue:10.958333, delay:0.6969525, throughput:1390, raw_metrics:{'fairness': 279.0}
SIM_TRAIN step:40, travel time:134.14014084507042, q_loss:0.15480205, rewards:-11.067499, queue:8.194445, delay:0.7861462, throughput:1392, raw_metrics:{'fairness': 791.0}
SIM_TRAIN step:41, travel time:126.95704225352112, q_loss:0.109438896, rewards:-7.962498, queue:5.3, delay:0.7337069, throughput:1398, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:42, travel time:124.50704225352112, q_loss:0.081588775, rewards:-6.9700017, queue:4.0916667, delay:0.5243793, throughput:1399, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:43, travel time:124.42957746478874, q_loss:0.074425966, rewards:-6.8794446, queue:3.9666667, delay:0.5401032, throughput:1400, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:44, travel time:121.14154929577465, q_loss:0.06565313, rewards:-5.628055, queue:2.85, delay:0.55969876, throughput:1399, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:5, travel time:159.81126760563382, q_loss:100, rewards:-40.691097, queue:16.980556, delay:0.74306244, throughput:1363, R_real:-3.2221, components:{'queue': 0.21, 'delay': 0.743, 'waiting': 2.269, 'pressure': 0.0, 'switches': 0.0}, raw_metrics:{'fairness': 680.0, 'emission': 444.095, 'fuel': 143.971, 'emergency_stops': 1.0, 'collisions': 0.0, 'ssm_conflicts': 222.0}, grid;w=pressure=1.0
SIM_TRAIN step:45, travel time:121.50985915492957, q_loss:0, rewards:-5.8399997, queue:3.1805556, delay:0.6078666, throughput:1397, raw_metrics:{'fairness': 1004.0}
SIM_TRAIN step:46, travel time:120.77887323943662, q_loss:0, rewards:-5.5391655, queue:2.961111, delay:0.5886133, throughput:1397, raw_metrics:{'fairness': 195.0}
SIM_TRAIN step:47, travel time:120.97957746478873, q_loss:2.6279964, rewards:-5.6858344, queue:3.0055556, delay:0.57361865, throughput:1398, raw_metrics:{'fairness': 790.0}
SIM_TRAIN step:48, travel time:135.34929577464789, q_loss:1.4507307, rewards:-11.277217, queue:8.036111, delay:0.624106, throughput:1398, raw_metrics:{'fairness': 216.0}
SIM_TRAIN step:49, travel time:251.4992957746479, q_loss:0.7249427, rewards:-43.816948, queue:41.319443, delay:0.8793839, throughput:1261, raw_metrics:{'fairness': 1008.0}
SIM_TRAIN step:50, travel time:304.4760563380282, q_loss:0.2199401, rewards:-50.6775, queue:48.25, delay:0.87868774, throughput:1234, raw_metrics:{'fairness': 1001.0}
SIM_TRAIN step:51, travel time:350.9232394366197, q_loss:0.058259774, rewards:-65.33444, queue:62.908333, delay:0.8928092, throughput:1211, raw_metrics:{'fairness': 972.0}
SIM_TRAIN step:52, travel time:440.14014084507045, q_loss:0.033387315, rewards:-104.54138, queue:99.78333, delay:0.8969447, throughput:988, raw_metrics:{'fairness': 671.0}
