MORLGrid: 16 grid policies
SIM_TRAIN step:27, travel time:67.73759099933818, q_loss:0, rewards:-2.7555552, queue:0.51309526, delay:0.04998992, throughput:3011, raw_metrics:{'fairness': 65.571}
SIM_TRAIN step:28, travel time:66.63579225934502, q_loss:0, rewards:-2.4677775, queue:0.47619048, delay:0.047679927, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:29, travel time:72.99668764491554, q_loss:2.1378548, rewards:-2.7736115, queue:0.51984125, delay:0.05260875, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:30, travel time:67.86730641958968, q_loss:0.59295017, rewards:-3.4280572, queue:0.7011905, delay:0.05893501, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:31, travel time:72.7845084409136, q_loss:0.3095181, rewards:-4.739166, queue:1.0924603, delay:0.066464074, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:32, travel time:69.70350761085373, q_loss:0.3932841, rewards:-3.850831, queue:0.7488095, delay:0.062378287, throughput:3012, raw_metrics:{'fairness': 100.0}
SIM_TRAIN step:33, travel time:70.00927152317881, q_loss:0.2016783, rewards:-3.6905558, queue:0.78373015, delay:0.06198696, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:34, travel time:69.780826446281, q_loss:0.16781078, rewards:-3.2113886, queue:0.9095238, delay:0.061440717, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:35, travel time:87.15392254220457, q_loss:0.28247607, rewards:-4.212775, queue:2.265873, delay:0.08044051, throughput:3012, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:4, travel time:616.5242718446602, q_loss:100, rewards:-25.828053, queue:15.022619, delay:0.21438381, throughput:945, R_real:-3.6490, components:{'queue': 0.497, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'emission': 3.152}, raw_metrics:{'fairness': 62.286, 'emission': 712.685, 'fuel': 231.048, 'emergency_stops': 9.0, 'collisions': 8.0, 'ssm_conflicts': 428.0}, grid;w=waiting=1.0
SIM_TRAIN step:36, travel time:67.94008606421714, q_loss:0, rewards:-2.5863893, queue:0.4702381, delay:0.0473736, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:37, travel time:68.31301755548195, q_loss:0, rewards:-2.593334, queue:0.46547619, delay:0.04776946, throughput:3011, raw_metrics:{'fairness': 107.429}
SIM_TRAIN step:38, travel time:64.98906922822127, q_loss:2.183995, rewards:-2.4855554, queue:0.52380955, delay:0.047904335, throughput:3012, raw_metrics:{'fairness': 61.0}
SIM_TRAIN step:39, travel time:67.42317880794702, q_loss:0.589862, rewards:-3.2058322, queue:0.66944444, delay:0.05874289, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:40, travel time:68.80072823568355, q_loss:0.17781788, rewards:-3.4111104, queue:0.68968254, delay:0.060245458, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:41, travel time:66.46604836038424, q_loss:0.08026585, rewards:-2.9327765, queue:0.61031747, delay:0.05471452, throughput:3011, raw_metrics:{'fairness': 45.857}
SIM_TRAIN step:42, travel time:65.50761085373925, q_loss:0.059722573, rewards:-2.6999998, queue:0.54642856, delay:0.052271344, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:43, travel time:68.03110522832561, q_loss:0.052823253, rewards:-3.0094442, queue:0.6166667, delay:0.05755705, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:44, travel time:70.35782853359815, q_loss:0.05383482, rewards:-3.160279, queue:0.66150796, delay:0.05748578, throughput:3012, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:5, travel time:620.1182298546896, q_loss:100, rewards:-31.855824, queue:16.605158, delay:0.22701506, throughput:998, R_real:-4.0275, components:{'queue': 0.547, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'emission': 3.48}, raw_metrics:{'fairness': 44.143, 'emission': 749.498, 'fuel': 242.983, 'emergency_stops': 11.0, 'collisions': 5.0, 'ssm_conflicts': 399.0}, grid;w=pressure=1.0
SIM_TRAIN step:45, travel time:72.35309705200397, q_loss:0, rewards:-2.736944, queue:0.51230156, delay:0.05028635, throughput:3011, raw_metrics:{'fairness': 0.0}
