Loading cached latent encoders from pretrained/lusr/presslight/ingolstadt7
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/ingolstadt7/baseline_v1_lusr_s0/model/ingolstadt7_noise5_presslight_latent_observation -> eval real_setting=combine3
REAL_TEST step:2, travel time:1086.1925858951176, q_loss:100, rewards:-65.97944, queue:28.15611, delay:1.1591293, throughput:619
REAL_TEST step:4, travel time:1310.2742663656884, q_loss:100, rewards:-72.79166, queue:19.646019, delay:1.0873245, throughput:390
REAL_TEST step:6, travel time:863.0769230769231, q_loss:100, rewards:-45.736675, queue:19.105299, delay:1.0391204, throughput:759
REAL_TEST step:8, travel time:890.9508620689655, q_loss:100, rewards:-52.24666, queue:18.150755, delay:1.0647167, throughput:775
REAL_TEST step:10, travel time:885.731983805668, q_loss:100, rewards:-53.691673, queue:18.45639, delay:1.0238101, throughput:801
REAL_TEST step:12, travel time:895.4558944765046, q_loss:100, rewards:-58.68723, queue:22.56086, delay:1.106138, throughput:793
REAL_TEST step:14, travel time:866.4893092105264, q_loss:100, rewards:-55.51557, queue:20.335878, delay:1.0458183, throughput:805
REAL_TEST step:16, travel time:213.95521676989043, q_loss:100, rewards:-29.861105, queue:12.6651945, delay:0.937818, throughput:1973
REAL_TEST step:18, travel time:1331.2986577181207, q_loss:100, rewards:-73.16862, queue:31.864202, delay:1.1316242, throughput:508
REAL_TEST step:20, travel time:782.2324533161623, q_loss:100, rewards:-43.208065, queue:27.322279, delay:1.0370693, throughput:978
REAL_TEST step:22, travel time:1042.9092250922508, q_loss:100, rewards:-41.956383, queue:24.845106, delay:1.0008892, throughput:734
REAL_TEST step:24, travel time:624.7433348395842, q_loss:100, rewards:-46.356686, queue:23.480772, delay:1.1698843, throughput:1558
REAL_TEST step:26, travel time:387.9474482061647, q_loss:100, rewards:-23.413336, queue:20.351011, delay:1.0047282, throughput:1712
REAL_TEST step:28, travel time:832.8798328108672, q_loss:100, rewards:-48.544167, queue:28.376066, delay:1.0460958, throughput:1208
REAL_TEST step:30, travel time:591.3696416022487, q_loss:100, rewards:-49.472492, queue:20.158352, delay:0.96388, throughput:1164
REAL_TEST step:32, travel time:931.9374597034172, q_loss:100, rewards:-46.25167, queue:27.485748, delay:1.0322468, throughput:987
REAL_TEST step:34, travel time:725.9141791044776, q_loss:100, rewards:-39.782784, queue:21.24318, delay:1.0264554, throughput:1166
REAL_TEST step:36, travel time:743.3009478672985, q_loss:100, rewards:-49.33668, queue:22.841751, delay:1.072396, throughput:1162
REAL_TEST step:38, travel time:812.7593659942363, q_loss:100, rewards:-56.055283, queue:22.702385, delay:1.0065957, throughput:941
REAL_TEST step:40, travel time:612.1295950155763, q_loss:100, rewards:-43.081963, queue:21.407536, delay:1.1042125, throughput:1172
REAL_TEST step:42, travel time:987.4762253108997, q_loss:100, rewards:-65.623886, queue:30.667439, delay:1.131635, throughput:841
REAL_TEST step:44, travel time:675.2767220902613, q_loss:100, rewards:-43.608627, queue:25.44483, delay:1.1389425, throughput:1191
REAL_TEST step:46, travel time:1014.4702242846095, q_loss:100, rewards:-58.53471, queue:24.200613, delay:0.9898349, throughput:709
REAL_TEST step:48, travel time:671.5793696275072, q_loss:100, rewards:-43.191128, queue:23.819273, delay:1.0626094, throughput:1199
REAL_TEST step:50, travel time:555.9245156980628, q_loss:100, rewards:-46.391136, queue:24.733551, delay:1.1272999, throughput:1205
REAL_TEST step:52, travel time:773.4089091947459, q_loss:100, rewards:-52.939156, queue:23.868914, delay:1.0836611, throughput:1170
REAL_TEST step:54, travel time:498.9198979591837, q_loss:100, rewards:-46.63833, queue:24.678072, delay:1.1366109, throughput:1553
REAL_TEST step:56, travel time:1060.677923702314, q_loss:100, rewards:-60.74777, queue:31.62792, delay:1.0201249, throughput:793
REAL_TEST step:58, travel time:361.4659613615455, q_loss:100, rewards:-47.556667, queue:17.978254, delay:1.1361308, throughput:1864
