MORLGrid: 16 grid policies
SIM_TRAIN step:28, travel time:77.26498101324442, q_loss:0, rewards:-30.066385, queue:2.3770833, delay:0.22092558, throughput:21331, raw_metrics:{'fairness': 414.625}
SIM_TRAIN step:29, travel time:77.9931005741804, q_loss:7.3178864, rewards:-30.78361, queue:2.7473958, delay:0.22152112, throughput:21183, raw_metrics:{'fairness': 726.188}
SIM_TRAIN step:30, travel time:253.89562882015187, q_loss:45.164207, rewards:-173.27274, queue:41.20712, delay:0.33408558, throughput:19950, raw_metrics:{'fairness': 733.25}
SIM_TRAIN step:31, travel time:156.28112989117852, q_loss:73.231766, rewards:-264.66324, queue:26.358854, delay:0.3294142, throughput:20849, raw_metrics:{'fairness': 1034.125}
SIM_TRAIN step:32, travel time:146.6966427413753, q_loss:59.823265, rewards:-189.63914, queue:24.665451, delay:0.3220212, throughput:20914, raw_metrics:{'fairness': 939.75}
SIM_TRAIN step:33, travel time:118.40246330508867, q_loss:63.295628, rewards:-150.98805, queue:15.048264, delay:0.28876975, throughput:21217, raw_metrics:{'fairness': 682.375}
SIM_TRAIN step:34, travel time:96.35977219058202, q_loss:70.28431, rewards:-98.670845, queue:8.422049, delay:0.2786038, throughput:21155, raw_metrics:{'fairness': 752.125}
SIM_TRAIN step:35, travel time:93.80549252072431, q_loss:70.00006, rewards:-89.62808, queue:7.8189235, delay:0.2643341, throughput:21197, raw_metrics:{'fairness': 704.438}
REAL_TRAIN step:4, travel time:156.11031977438938, q_loss:100, rewards:-217.91615, queue:24.095139, delay:0.30321154, throughput:19952, R_real:-33.5329, components:{'queue': 2.217, 'delay': 4.851, 'waiting': 26.465, 'pressure': 0.0, 'switches': 0.0}, raw_metrics:{'fairness': 133.125, 'emission': 6034.462, 'fuel': 1956.311, 'emergency_stops': 63.0, 'collisions': 3.0, 'ssm_conflicts': 8897.0}, grid;w=waiting=1.0
SIM_TRAIN step:36, travel time:77.42388888888888, q_loss:0, rewards:-31.060553, queue:2.425, delay:0.22230026, throughput:21336, raw_metrics:{'fairness': 661.0}
SIM_TRAIN step:37, travel time:77.11887010882148, q_loss:0, rewards:-29.859716, queue:2.3534722, delay:0.22197384, throughput:21328, raw_metrics:{'fairness': 611.25}
SIM_TRAIN step:38, travel time:77.84890020838156, q_loss:5.941701, rewards:-31.237492, queue:2.6559029, delay:0.22403677, throughput:21212, raw_metrics:{'fairness': 846.938}
SIM_TRAIN step:39, travel time:89.18338427340927, q_loss:18.81484, rewards:-48.05918, queue:6.302604, delay:0.24683113, throughput:21226, raw_metrics:{'fairness': 741.25}
SIM_TRAIN step:40, travel time:85.48254144669815, q_loss:15.652558, rewards:-53.613888, queue:5.0131946, delay:0.2453899, throughput:21311, raw_metrics:{'fairness': 368.625}
SIM_TRAIN step:41, travel time:84.18983474517428, q_loss:8.674179, rewards:-55.580563, queue:4.642882, delay:0.25259903, throughput:21293, raw_metrics:{'fairness': 645.438}
SIM_TRAIN step:42, travel time:83.10071775874044, q_loss:4.6492267, rewards:-53.449734, queue:4.2868056, delay:0.256436, throughput:21289, raw_metrics:{'fairness': 494.062}
SIM_TRAIN step:43, travel time:80.91553600370456, q_loss:3.2534447, rewards:-46.644432, queue:3.532118, delay:0.24213973, throughput:21324, raw_metrics:{'fairness': 458.0}
SIM_TRAIN step:44, travel time:158.17746491918678, q_loss:4.9380884, rewards:-120.6645, queue:20.76632, delay:0.29672682, throughput:21080, raw_metrics:{'fairness': 572.125}
REAL_TRAIN step:5, travel time:243.4509456572709, q_loss:100, rewards:-343.84592, queue:49.299652, delay:0.32349098, throughput:17528, R_real:-373.3968, components:{'queue': 5.827, 'delay': 5.176, 'waiting': 362.394, 'pressure': 0.0, 'switches': 0.0}, raw_metrics:{'fairness': 152.688, 'emission': 8057.984, 'fuel': 2612.33, 'emergency_stops': 92.0, 'collisions': 1.0, 'ssm_conflicts': 7104.0}, grid;w=pressure=1.0
SIM_TRAIN step:45, travel time:77.28718969988884, q_loss:0, rewards:-30.776112, queue:2.400868, delay:0.2210583, throughput:21333, raw_metrics:{'fairness': 267.625}
SIM_TRAIN step:46, travel time:77.38031951840703, q_loss:0, rewards:-30.658056, queue:2.4211805, delay:0.22314885, throughput:21331, raw_metrics:{'fairness': 426.312}
SIM_TRAIN step:47, travel time:77.709496689355, q_loss:6.2109046, rewards:-31.729164, queue:2.5072916, delay:0.22114593, throughput:21317, raw_metrics:{'fairness': 429.125}
SIM_TRAIN step:48, travel time:361.19233084795997, q_loss:28.463676, rewards:-329.51648, queue:63.71632, delay:0.3359801, throughput:17770, raw_metrics:{'fairness': 647.75}
SIM_TRAIN step:49, travel time:488.2419862886789, q_loss:73.48258, rewards:-772.3446, queue:106.11979, delay:0.44004744, throughput:16004, raw_metrics:{'fairness': 1313.375}
SIM_TRAIN step:50, travel time:954.7158475008107, q_loss:78.44015, rewards:-1187.8147, queue:202.2724, delay:0.55839944, throughput:10252, raw_metrics:{'fairness': 783.938}
SIM_TRAIN step:51, travel time:854.163695299838, q_loss:37.808594, rewards:-1250.687, queue:177.88246, delay:0.5533033, throughput:12263, raw_metrics:{'fairness': 1030.062}
SIM_TRAIN step:52, travel time:893.3202853569278, q_loss:25.886192, rewards:-1261.4193, queue:182.99896, delay:0.5274286, throughput:11815, raw_metrics:{'fairness': 820.312}
SIM_TRAIN step:53, travel time:905.7522234574764, q_loss:18.093159, rewards:-1312.8704, queue:184.50677, delay:0.5229895, throughput:10577, raw_metrics:{'fairness': 739.812}
